Company,Symbol,Managers,Offer Date,Offer Price,1st Day Close,Current Price,Return
RigNet,RNET,Deutsche Bank Securities/ Jefferies & Company,12-15-10,$12.00,$12.55,$12.00,4.58%
Walker & Dunlop,WD,"Credit Suisse/ Keefe, Bruyette & Woods/ Morgan Stanley",12-15-10,$10.00,$9.90,$9.90,-1.00%
Swift Holdings ,SWFT,Morgan Stanley/ BofA Merrill Lynch/ Wells Fargo Securities,12-16-10,$11.00,$11.10,$11.00,0.91%
Fortegra Financial,FRF,Piper Jaffray/ SunTrust Robinson Humphrey,12-17-10,$11.00,$11.00,$11.00,0.00%
"QR Energy, LP",QRE,Wells Fargo Securities,12-17-10,$20.00,$19.60,$19.90,-2.00%
Ventrus Biosciences,VTUS,"Rodman & Renshaw, LLC/ National Securities",12-16-10,$6.00,$6.30,$7.47,5.00%
"Ossen Innovation Co., Ltd.",OSN,"Global Hunter Securities, LLC/ Knight Capital Markets",12-21-10,$4.50,$4.25,$4.74,-5.56%
Mead Johnson Nutrition,MJN,Citi/Morgan Stanley,2-10-09,$24.00,$26.43,$26.00,10.13%
Changyou.com,CYOU,Credit Suisse/Merrill Lynch,4-1-09,$16.00,$20.02,$22.00,25.13%
Bridgepoint Education,BPI,Credit Suisse/JPMorgan,4-14-09,$10.50,$11.10,$10.50,5.71%
Rosetta Stone,RST,Morgan Stanley/William Blair,4-15-09,$18.00,$25.12,$25.00,39.56%
DigitalGlobal,DGI,Morgan Stanley/JP Morgan,5-14-09,$19.00,$21.50,$23.00,13.16%
SolarWinds,SWI,"JPMorgan/ Goldman, Sachs/ Morgan Stanley",5-19-09,$12.50,$13.75,$15.00,10.00%
OpenTable,OPEN,Merrill Lynch,5-20-09,$20.00,$31.89,$24.50,59.45%
Government Properties Income Trust,GOV,Merrill Lynch/Wachovia/Morgan Stanley,6-2-09,$20.00,$19.47,$19.40,-2.65%
Cypress Sharpridge Investment,CYS,Barclay Capital,6-12-09,$11.00,$11.55,$12.00,5.00%
Chemspec International,CPC,Credit Suisse/Citi,6-24-09,$9.00,$9.00,$9.45,0.00%
Duoyuan Global Water,DGW,Piper Jaffray,6-24-09,$16.00,$21.87,$22.65,36.69%
Medidata Solutions,MDSO,Citi/Credit Suisse,6-25-09,$14.00,$17.00,$18.00,21.43%
