Company,Symbol,Managers,Offer Date,Offer Price,1st Day Close,Current Price,Return
WiderThan,WTHN,JPMorgan/Merrill Lynch,12-9-05,$12.00,$12.00,$14.50,0.00%
Basic Energy Services,BAS,Goldman Sachs/Credit Suisse First Boston,12-9-05,$20.00,$21.50,$22.00,7.50%
Cynosure,CYNO,Citigroup,12-9-05,$15.00,$18.93,$16.99,26.20%
Scopus Video Networks,SCOP,Thomas Weisel Partners/CIBC Worldmarkets,12-12-05,$7.00,$7.24,$7.02,3.43%
CapitalSouth Bancorp,CAPB,Sterne Agee & Leach,12-12-05,$18.50,$18.50,$19.00,0.00%
DealerTrack Holdings,TRAK,Lehman Brothers/JP Morgan,12-12-05,$17.00,$19.25,$19.75,13.24%
Suntech Power Holdings,STP,Credit Suisse First Boston/Morgan Stanley,12-13-05,$15.00,$21.20,$20.35,41.33%
Republic Property Trust,RPB,Lehman Brothers/Bear Stearns,12-14-05,$12.00,$12.00,$12.00,0.00%
Somaxon Pharmaceuticals,SOMX,Morgan Stanley/JP Morgan,12-14-05,$11.00,$10.71,$11.00,-2.64%
Carolina National Bank,CNCP,Scott & Stringfellow,12-14-05,$16.00,$17.00,$16.85,6.25%
Copa Holdings S.A.,CPA,Morgan Stanley/Goldman Sachs,12-14-05,$20.00,$24.25,$22.53,21.25%
Endeavor Acquisition,EDA-U,Ladenburg Thalmann/Broadband Capital Markets,12-15-05,$8.00,$8.00,$8.01,0.00%
Directed Electronics,DEIX,Goldman Sachs/JP Morgan,12-15-05,$16.00,$14.00,$17.00,-12.50%
Emergency Medical Services,EMS,Banc of America/JP Morgan,12-15-05,$14.00,$13.10,$14.00,-6.43%
Spansion,SPSN,Citigroup/Credit Suisse First Boston,12-15-05,$12.00,$13.55,$12.00,12.92%
Star Maritime Acquisition,SEA-U,Maxim Group/EarlyBirdCapital,12-16-05,$10.00,$9.92,$9.90,-0.80%
Boulder Specialty Brands,BDSBU,Citigroup/Roth Capital Partners,12-16-05,$8.00,$9.00,$9.00,12.50%
CRM Holdings,CRMH,Sandler O'Neill/KeyBanc Capital Markets,12-20-05,$13.00,$13.00,$13.11,0.00%
Pixelplus Ltd.,PXPL,Jefferies Broadview/WR Hambracht+Co.,12-20-05,$8.00,$8.01,$8.03,0.12%
NUCRYST Pharmaceuticals,NCST,Jefferies,12-21-05,$10.00,$10.00,$10.00,0.00%
K-Sea Transportation Partners,KSP,Lehman Brothers/UBS Investment Bank,1-8-04,$23.50,$27.09,$26.50,15.28%
Crosstex Energy,XTXI,AG Edwrads,1-12-04,$19.50,$25.40,$23.25,30.26%
Portec Rail Products,PRPX,Ferris Baker Watts,1-22-04,$10.00,$9.96,$10.30,-0.40%
Government Properties Trust,GPP,Friedman Billings Ramsey,1-26-04,$10.00,$13.02,$13.90,30.20%
Eyetech Pharmaceuticals,EYET,Merrill Lynch/Morgan Stanley,1-29-04,$21.00,$32.40,$29.50,54.29%
TRW Automotive,TRW,Goldman Sachs/CS First Boston/JP Morgan,2-2-04,$28.00,$27.10,$27.35,-3.21%
GTx,GTXI,Goldman Sachs,2-2-04,$14.50,$12.90,$15.27,-11.03%
The Bancorp Bank,TBBK,Friedman Billings Ramsey,2-2-04,$12.50,$16.00,$15.15,28.00%
Asset Acceptance Capital,AACC,Bear Stearns,2-4-04,$15.00,$16.68,$16.66,11.20%
Assurant,AIZ,Morgan Stanley,2-4-04,$22.00,$24.70,$23.75,12.27%
Renovis,RNVS,Goldman Sachs,2-4-04,$12.00,$14.50,$12.50,20.83%
TODCO,THE,Morgan Stanley,2-4-04,$12.00,$13.70,$13.55,14.17%
Bakers Footwear Group,BKRS,Ryan Beck/BB&T Capital,2-5-04,$7.75,$8.29,$8.70,6.97%
Staktex Holdings,STAK,Morgan Stanley/Merrill Lynch,2-5-04,$13.00,$14.88,$14.48,14.46%
Symbion,SMBI,Credit Suisse First Boston,2-5-04,$15.00,$18.63,$18.00,24.20%
AlphaSmart,ALSM,Jefferies,2-6-04,$6.00,$6.19,$6.99,3.17%
Affordable Residential Communities,ARC,Citigroup/Merrill Lynch,2-11-04,$19.00,$19.00,$19.10,0.00%
Bristol West Holdings,BRW,Credit Suisse First Boston/Bear Stearns,2-11-04,$20.00,$22.80,$22.75,14.00%
Atheros Communications,ATHR,Morgan Stanley/Lehman Brothers,2-11-04,$14.00,$17.60,$18.75,25.71%
Corgentech,CGTK,Credit Suisse First Boston/Lehman Brothers,2-11-04,$16.00,$21.40,$18.00,33.75%
CEA Acquisition,CEACU,EarlyBirdCapital/GunnAllen,2-13-04,$6.00,$6.06,$6.60,1.00%
Dynavax Technologies,DVAX,Bear Stearns/Deutsche Bank,2-18-04,$7.50,$9.40,$8.30,25.33%
Cherokee International,CHRK,Credit Suisse First Boston,2-19-04,$14.50,$16.50,$16.75,13.79%
Kinetic Concepts,KCI,Merrill Lynch/JP Morgan,2-23-04,$30.00,$40.40,$33.50,34.67%
Linktone,LTON,Credit Suisse First Boston,3-3-04,$14.00,$17.42,$19.01,24.43%
TOM Online,TOMO,Citigroup/Morgan Stanley,3-10-04,$15.55,$15.58,$15.75,0.19%
TNS,TNS,JP Morgan/Lehman Brothers,3-15-04,$18.00,$18.00,$18.50,0.00%
Xcyte Therapies,XCYT,Piper Jaffray/RBC Capital Markets,3-15-04,$8.00,$7.31,$8.50,-8.63%
Tercica,TRCA,Lehman Brothers/SG Cowen,3-16-04,$9.00,$9.00,$9.00,0.00%
Semiconductor Mfg Int'l,SMI,Credit Suisse First Boston/Deutsche Bank,3-17-04,$17.50,$15.52,$17.00,-11.31%
Chardan China Acquisition,CAQCU.OB,EarlyBirdCapital,3-17-04,$6.00,$6.05,$6.05,0.83%
Sunset Financial Resources,SFO,WR Hambrecht/JP Morgan,3-17-04,$13.00,$12.75,$12.75,-1.92%
Capital Lease Funding,LSE,Friedman Billings Ramsey/Wachovia Securities,3-18-04,$10.50,$13.41,$12.95,27.71%
Signature Bank,SBNY,Friedman Billings Ramsey,3-22-04,$15.50,$19.47,$18.50,25.61%
Ultra Clean Holdings,UCTT,Credit Suisse First Boston/JP Morgan,3-24-04,$7.00,$7.50,$7.01,7.14%
Hornbeck Offshore Services,HOS,Goldman Sachs/Jefferies,3-25-04,$13.00,$13.25,$13.25,1.92%
Anadys Pharmaceuticals,ANDS,SG Cowen/Piper Jaffray,3-25-04,$7.00,$7.06,$7.00,0.86%
Cutera,CUTR,Piper Jaffray,3-30-04,$14.00,$14.00,$14.00,0.00%
Marchex,MCHX,Sanders Morris Harris/National Securities,3-30-04,$6.50,$8.88,$7.52,36.62%
Santarus,SNTS,SG Cowen/UBS Investment Bank,3-31-04,$9.00,$10.10,$9.00,12.22%
Memory Pharmaceuticals,MEMY,UBS Investment Bank/SG Cowen,4-5-04,$7.00,$8.40,$7.50,20.00%
JED Oil,JDO,Gilford Securities,4-5-04,$5.50,$11.20,$10.00,103.64%
Arbor Realty Trust,ABR,Wachovia Securities/UBS Investment Bank,4-6-04,$20.00,$20.50,$20.05,2.50%
Corcept Therapeutics,CORT,Thomas Weisel Partners/Piper Jaffray,4-13-04,$12.00,$12.23,$12.25,1.92%
Immunicon,IMMC,UBS Investment Bank,4-16-04,$8.00,$9.50,$8.53,18.75%
ProCentury,PROS,Friedman Billings Ramsey,4-20-04,$10.50,$10.50,$10.65,0.00%
Gander Mountain,GMTN,Banc of America/William Blair,4-20-04,$16.00,$22.02,$20.00,37.63%
SiRF Technology Holdings,SIRF,Morgan Stanley/Credit Suisse First Boston,4-21-04,$12.00,$15.30,$14.45,27.50%
Assured Guaranty,AGO,Banc of America/Goldman Sachs,4-22-04,$18.00,$18.00,$18.22,0.00%
Barrier Therapeutics,BTRX,Morgan Stanley,4-28-04,$15.00,$14.60,$15.00,-2.67%
Intersections,INTX,Deutsche Bank/Lazard,4-29-04,$17.00,$24.70,$21.01,45.29%
Cytokinetics,CYTK,Goldman Sachs,4-29-04,$13.00,$16.10,$15.00,23.85%
Origen Financial,ORGN,Lehman Brothers,5-5-04,$8.00,$8.00,$8.00,0.00%
Greenhill,GHL,Goldman Sachs,5-5-04,$17.50,$20.50,$19.06,17.14%
InfraSource Services,IFS,Lehman Brothers,5-6-04,$13.00,$12.65,$13.00,-2.69%
Atlas America,ATLS,Friedman Billings Ramsey/Key Banc Capital Markets,5-10-04,$15.50,$18.14,$15.50,17.03%
Shanda Interactive Entertainment,SNDA,Goldman Sachs,5-11-04,$11.00,$11.97,$11.30,8.82%
NuVasive,NUVA,Banc of America/Lehman Brothers,5-12-04,$11.00,$11.40,$11.05,3.64%
Blue Nile,NILE,Merrill/Lynch/Bear Stearns,5-19-04,$20.50,$28.40,$25.00,38.54%
Animas,PUMP,Piper Jaffray/JP Morgan,5-19-04,$15.00,$18.00,$17.25,20.00%
Genworth Financial,GNW,Morgan Stanley/Goldman Sachs,5-24-04,$19.50,$19.50,$18.75,0.00%
ACADIA Pharmaceuticals,ACAD,Banc of America/Piper Jaffray,5-26-04,$7.00,$6.70,$7.44,-4.29%
Angio Dynamics,ANGO,RBC Capital Markets,5-26-04,$11.00,$12.50,$11.54,13.64%
Critical Therapeutics,CRTX,SG Cowen,5-26-04,$7.00,$7.10,$7.26,1.43%
Republic Airways Holdings,RJET,Merrill Lynch/Raymond James,5-26-04,$13.00,$13.77,$14.25,5.92%
Alnylam Pharmaceuticals,ALNY,Banc of America,5-27-04,$6.00,$6.01,$6.10,0.17%
Standard Parking,STAN,William Blair,5-27-04,$11.50,$12.58,$12.02,9.39%
Global Signal,GSL,Morgan Stanley/Banc of America/Lehman Brothers,6-2-04,$18.00,$20.15,$20.10,11.94%
Inhibitex,INHX,Thomas Weisel Partners/Lazard,6-3-04,$7.00,$7.22,$7.51,3.14%
Digirad,DRAD,Merrill Lynch/JP Morgan,6-9-04,$12.00,$11.77,$12.00,-1.92%
PowerDsine,PDSN,Citigroup/Deutsche Bank,6-9-04,$11.50,$12.04,$12.49,4.70%
CB Richard Ellis Group,CBG,Credit Suisse First Boston/Citigroup,6-9-04,$19.00,$18.35,$19.00,-3.42%
Leadis Technology,LDIS,Goldman Sachs/Merrill Lynch,6-15-04,$14.00,$13.10,$14.27,-6.43%
Metabasis Therapeutics,MBRX,SG Cowen/Deutsche Bank,6-15-04,$7.00,$6.66,$7.03,-4.86%
ADESA,KAR,UBS Investment Bank/Merrill Lynch,6-15-04,$24.00,$25.25,$25.50,5.21%
InfoSonics,IFO,Gilford Securities,6-16-04,$6.00,$5.85,$6.00,-2.50%
Radiation Therapy Services,RTSX,Wachovia/Banc of America,6-17-04,$13.00,$14.05,$13.04,8.08%
Blackboard,BBBB,Credit Suisse First Boston,6-17-04,$14.00,$20.01,$15.80,42.93%
Color Kinetics,CLRK,CIBC World Markets/Needham,6-21-04,$10.00,$9.95,$10.01,-0.50%
Jackson Hewitt Tax Service,JTX,Goldman Sachs/JP Morgan,6-21-04,$17.00,$17.25,$17.00,1.47%
Momenta Pharmaceuticals,MNTA,SG Cowen/Banc of America,6-21-04,$6.50,$7.81,$6.75,20.15%
Senomyx,SNMX,Citigroup/Deutsche Bank,6-21-04,$6.00,$6.75,$6.45,12.50%
WCA Waste,WCAA,Friedman Billings Ramsey/Stifel Nicolaus,6-22-04,$9.50,$8.59,$9.65,-9.58%
salesforce.com,CRM,Morgan Stanley,6-22-04,$11.00,$17.20,$15.00,56.36%
New York Mortgage Trust,NTR,Friedman Billings Ramsey,6-23-04,$9.00,$8.94,$8.75,-0.67%
Gol Intelligent Airlines,GOL,Morgan Stanley/Merrill Lynch,6-23-04,$17.00,$18.22,$18.80,7.18%
Strategic Hotel Capital,SLH,Goldman Sachs,6-23-04,$14.00,$14.35,$14.00,2.50%
Xyratex,XRTX,Credit Suisse First Boston/Citigroup,6-23-04,$14.00,$13.95,$14.00,-0.36%
Motive,MOTV,JP Morgan/Thomas Weisel Partners,6-24-04,$10.00,$10.15,$10.25,1.50%
Multi-Fineline Electric,MFLX,Needham,6-24-04,$10.00,$10.04,$10.21,0.40%
Cabela's,CAB,Credit Suisse First Boston,6-24-04,$20.00,$26.00,$27.95,30.00%
Homex Development,HXM,Citigroup/Merrill Lynch,6-28-04,$15.80,$17.60,$17.00,11.39%
Life Time Fitness,LTM,Credit Suisse First Boston/Merrill Lynch,6-29-04,$18.50,$21.00,$20.75,13.51%
Design Within Reach,DWRI,CIBC World Markets,6-29-04,$12.00,$16.43,$14.80,36.92%
WellCare Group,WCG,Morgan Stanley,6-30-04,$17.00,$19.53,$19.30,14.88%
Holly Energy Partners,HEP,Goldman Sachs,7-7-04,$22.25,$24.55,$23.50,10.34%
KongZhong,KONG,UBS Investment Bank,7-8-04,$10.00,$10.10,$10.25,1.00%
NetLogic Mircosystems,NETL,Merrill Lynch/Lehman Brothers,7-8-04,$12.00,$11.51,$12.30,-4.08%
Affirmative Insurance Holdings,AFFM,Piper Jaffray,7-9-04,$14.00,$14.02,$14.00,0.14%
Domino's Pizza,DPZ,JP Morgan/Citigroup,7-12-04,$14.00,$13.50,$14.00,-3.57%
HomeBanc,HMB,JP Morgan/Friedman Billings Ramsey,7-13-04,$7.50,$8.15,$7.50,8.67%
Phase Forward,PFWD,Thomas Weisel Partners,7-14-04,$7.50,$9.35,$8.75,24.67%
Collegiate Funding Services,CFSI,JP Morgan/Merrill Lynch,7-15-04,$16.00,$15.64,$16.00,-2.25%
Freescale Semiconductor,FSL,Goldman Sachs/Citigroup/JP Morgan,7-15-04,$13.00,$14.02,$13.00,7.85%
LG. Philips LCD  (7/22/04),LPL,LG Investment & Securities/Morgan Stanley/UBS Investment Bank,7-15-04,$15.00,$14.05,$14.40,-6.33%
Xenogen,XGEN,Thomas Weisel Partners,7-15-04,$7.00,$7.50,$8.00,7.14%
QC Holdings,QCCO,Ferris Baker Watts/JMP Securities,7-15-04,$14.00,$15.20,$14.50,8.57%
Greenfield Online,SRVY,Lehman Brothers,7-15-04,$13.00,$18.70,$16.00,43.85%
McCormick & Schmick Holdings,MSSR,Banc of America,7-19-04,$12.00,$12.34,$12.03,2.83%
Idenix Pharmaceuticals,IDIX,Goldman Sachs/Banc of America,7-21-04,$14.00,$13.45,$14.08,-3.93%
Blackbaud,BLKB,JP Morgan/Banc of America,7-21-04,$8.00,$8.55,$8.35,6.88%
Dex Media,DEX,Morgan Stanley/Lehman Brothers/Merrill Lynch,7-21-04,$19.00,$19.50,$19.00,2.63%
Kanbay International,KBAY,UBS Investment Bank,7-21-04,$13.00,$15.20,$13.00,16.92%
NEUROMetrix,NURO,Punk Ziegel/WR Hambrecht,7-21-04,$8.00,$8.05,$8.11,0.63%
Auxilium Pharmaceuticals,AUXL,Deutsche Bank,7-22-04,$7.50,$7.20,$7.60,-4.00%
Lumera,LMRA,Paulson Investment,7-22-04,$6.95,$6.01,$7.03,-13.53%
Top Tankers,TOPT,Cantor Fitzgerald,7-22-04,$11.00,$10.60,$11.00,-3.64%
Bucyrus International,BUCY,Goldman Sachs,7-22-04,$18.00,$22.50,$20.15,25.00%
Gramercy Capital,GKK,Wachovia/Merrill Lynch,7-27-04,$15.00,$15.00,$15.00,0.00%
MannKind,MNKD,UBS Investment Bank,7-27-04,$14.00,$14.08,$15.49,0.57%
Volterra Semiconductor,VLTR,Goldman Sachs,7-28-04,$8.00,$8.25,$8.10,3.13%
MortgageIT Holdings,MHL,UBS Investment Bank/Merrill Lynch,7-29-04,$12.00,$12.00,$12.00,0.00%
EnerSys,ENS,Morgan Stanley/Lehman Brothers,7-29-04,$12.50,$12.50,$12.50,0.00%
Rightnow Technologies,RNOW,Morgan Stanley/Thomas Weisel,8-4-04,$7.00,$7.00,$7.02,0.00%
New River Pharmaceuticals,NRPH,WR Hambrecht,8-4-04,$8.00,$7.50,$8.01,-6.25%
Commercial Vehicle Group,CVGI,Credit Suisse First Boston,8-4-04,$13.00,$13.10,$13.05,0.77%
Syneron Medical Ltd.,ELOS,Citigroup,8-5-04,$12.00,$10.75,$12.02,-10.42%
NAVTEQ,NVT,Credit Suisse First Boston/Merrill Lynch,8-5-04,$22.00,$25.30,$25.05,15.00%
BioMed Realty Trust,BMR,Raymond James,8-5-04,$15.00,$15.90,$16.00,6.00%
Google,GOOG,Morgan Stanley/Credit Suisse First Boston,8-18-04,$85.00,$100.34,$100.01,18.04%
WPT Enterprises,WPTE,Feltl and Company,8-9-04,$8.00,$6.86,$9.15,-14.25%
Placer Sierra Bancshares,PLSB,Friedman Billings Ramsey,8-10-04,$20.00,$19.50,$20.40,-2.50%
Kite Realty Group Trust,KRG,Lehman Brothers/Wachovia,8-10-04,$13.00,$13.00,$13.00,0.00%
Westlake Chemical,WLK,Credit Suisse First Boston/JP Morgan/Deutsche Bank,8-10-04,$14.50,$14.65,$14.50,1.03%
Extra Space Storage,EXR,UBS Investment Bank/Merrill Lynch,8-11-04,$12.50,$12.50,$12.76,0.00%
American Campus Communities (ACC),ACC,Citigroup/Deutsche Bank,8-11-04,$17.50,$17.50,$17.50,0.00%
Archipelago Holdings,AX,Goldman Sachs/JP Morgan,8-11-04,$11.50,$12.30,$11.50,6.96%
Stereotaxis,STXS,Goldman Sachs/Bear Stearns,8-11-04,$8.00,$7.82,$8.00,-2.25%
EuroBancshares,EUBK,"Keefe, Bruyette & Woods/UBS Investment Bank",8-11-04,$14.00,$15.90,$14.75,13.57%
Cohen & Steers,CNS,Merrill Lynch,8-12-04,$13.00,$13.00,$13.11,0.00%
eCOST.com,ECST,William Blair,8-26-04,$5.80,$6.00,$6.40,3.43%
StoneMor Partners L.P.,STON,Lehman Brothers,9-14-04,$20.50,$21.60,$22.40,5.37%
Nephros,NEP,The Shemano Group/National Securities,9-20-04,$6.00,$5.85,$6.00,-2.50%
Educate,EEEE,Goldman Sachs/Merrill Lynch,9-22-04,$12.20,$11.99,$12.20,-1.72%
Beacon Roofing Supply,BECN,JP Morgan/William Blair,9-22-04,$13.00,$15.99,$14.51,23.00%
ValleyBancorp,VLLY,Sandler O'Niell & Partners,9-22-04,$18.00,$21.03,$23.50,16.83%
Cogent Systems,COGT,Morgan Stanley/JP Morgan,9-23-04,$12.00,$17.98,$16.02,49.83%
WebSideStory,WSSI,Friedman Billings Ramsey/RBC Capital Markets,9-27-04,$8.50,$9.04,$9.30,6.35%
CPFL Energia,CPL,Merrill Lynch/Pactual Capital,9-28-04,$18.00,$18.00,$18.00,0.00%
JAMDAT Mobile,JMDT,Lehman Brothers/Merrill Lynch,9-28-04,$16.00,$22.51,$23.00,40.69%
51job,JOBS,Morgan Stanley,9-28-04,$14.00,$21.15,$18.98,51.07%
Primus Guaranty,PRS,Lehman Brothers/Morgan Stanley,9-29-04,$13.50,$13.50,$13.50,0.00%
Ness Technologies,NSTC,Lehman Brothers/Merrill Lynch,9-29-04,$12.00,$12.85,$12.01,7.08%
CallWave,CALL,Deutsche Bank,9-29-04,$10.00,$9.55,$11.00,-4.50%
PeopleSupport,PSPT,SG Cowen,9-30-04,$7.00,$6.50,$7.07,-7.14%
Eagle Hospitality Properties Trust,EHP,A.G. Edwards/Wachovia,9-30-04,$9.75,$10.25,$10.00,5.13%
Texas Roadhouse,TXRH,Banc of America/Wachovia Securities,10-4-04,$17.50,$22.46,$21.50,28.34%
Theravance,THRX,Merrill Lynch/Lehman Brothers,10-4-04,$16.00,$18.11,$19.00,13.19%
Gold Kist Holdings,GKIS,Merrill Lynch,10-6-04,$11.00,$11.40,$11.25,3.64%
Thomas Properties Group,TPGI,Freidman Billing Ramsey/UBS Investment Bank,10-6-04,$12.00,$12.06,$12.02,0.50%
IntraLase,ILSE,Banc of America,10-6-04,$13.00,$16.25,$15.75,25.00%
New York & Company,NWY,Bear Stearns/JP Morgan,10-6-04,$17.00,$19.30,$19.00,13.53%
Hutchison Telecommunications International,HTX,Goldman Sacha (Asia),10-7-04,$11.67,$11.26,$11.35,-3.51%
B&G Foods Holdings,BGF,RBC Capital Markets/Credit Suisse First Boston/Merrill Lynch,10-7-04,$15.00,$15.00,$15.05,0.00%
Gurunet,GRU,Maxium CapitalEarlybird Capital,10-12-04,$5.00,$5.09,$5.00,1.80%
Huron Consulting Group,HURN,UBS Investment Bank/Deutsche Bank,10-12-04,$15.50,$18.90,$18.50,21.94%
CoTherix,CTRX,CIBC World Markets/Piper Jaffray,10-14-04,$6.00,$6.00,$6.01,0.00%
China Finance Online,JRJC,JP Morgan,10-14-04,$13.00,$11.70,$15.50,-10.00%
Interchange,INCX,Roth Capital Partners,10-18-04,$8.00,$7.65,$8.30,-4.38%
VNUS Medical Technologies,VNUS,Banc of America/Piper Jaffray,10-19-04,$15.00,$15.04,$15.50,0.27%
Celebrate Express,BDAY,SG Cowen,10-19-04,$15.40,$16.70,$16.25,8.44%
Sunstone Hotel Investors,SHO,Citigroup/Merrill Lynch/Morgan Stanley,10-20-04,$17.00,$17.00,$17.00,0.00%
Tower Group,TWGP,Friedman Billings Ramsey,10-20-04,$8.50,$8.95,$8.74,5.29%
TelVent GIT,TLVT,Merrill Lynch/Lehman Brothers,10-20-04,$9.00,$9.02,$9.05,0.22%
U-Store-It Trust,YSI,Lehman Brothers,10-21-04,$16.00,$16.50,$17.00,3.13%
NorthStar Realty Finance,NRF,Friedman Billings Ramsey,10-25-04,$9.00,$8.75,$8.90,-2.78%
Shopping.com,SHOP,Goldman Sachs/Credit Suisse First Boston,10-25-04,$18.00,$28.80,$22.95,60.00%
FoxHollow Technologies,FOXH,JP Morgan/Piper Jaffray,10-27-04,$14.00,$20.40,$16.25,45.71%
GMH Communities Trust,GCT,Banc of America/Merrill Lynch,10-27-04,$12.00,$12.00,$12.05,0.00%
Calamos Asset Management,CLMS,Citigroup,10-27-04,$18.00,$19.92,$18.00,10.67%
eLong,LONG,Deutsche Bank Securities,10-27-04,$13.50,$14.40,$22.00,6.67%
DreamWorks Animation SKG,DWA,Goldman Sachs/JP Morgan,10-27-04,$28.00,$38.75,$39.50,38.39%
Build-A-Bear Workshop,BBW,Credit Suisse First Boston/Citigroup,10-27-04,$20.00,$25.05,$27.00,25.25%
Mechel Steel Group OAO,MTL,UBS Investment Bank,10-28-04,$21.00,$20.50,$21.00,-2.38%
Rand Acquisition,RACQU,EarlyBirdCapital,10-28-04,$6.00,$6.02,$6.00,0.33%
Digital Realty Trust,DLR,Citigroup/Merrill Lynch,10-28-04,$12.00,$12.00,$12.00,0.00%
U.S. Shipping Partners L.P.,USS,Citigroup/Lehman Brothers,10-28-04,$22.25,$23.25,$23.00,4.49%
Aames Investment,AIC,Friedman Billings Ramsey,11-1-04,$8.50,$9.30,$8.99,9.41%
Arlington Tankers Ltd.,ATB,UBS Investment Bank/Jefferies,11-4-04,$20.00,$22.04,$22.30,10.20%
MarketAxess Holdings,MKTX,Credit Suisse First Boston/JP Morgan,11-4-04,$11.00,$17.49,$12.75,59.00%
"Copano Energy, LLC",CPNO,RBC Capital Markets,11-8-04,$20.00,$23.00,$23.00,15.00%
China Netcom Group,CN,China International/Citigroup/Goldman Sachs (Asia),11-9-04,$21.82,$24.90,$23.85,14.12%
Zip Realty,ZIPR,UBS Investment Bank/Deutsche Bank,11-9-04,$13.00,$16.30,$17.00,25.38%
Ormat Technologies,ORA,Lehman Brothers/Deutsche Bank,11-10-04,$15.00,$15.67,$15.20,4.47%
Nalco Holding,NLC,Goldman Sachs/Citigroup,11-10-04,$15.00,$16.20,$15.15,8.00%
InPhonic,INPC,Deutsche Bank/JP Morgan,11-15-04,$19.00,$24.00,$23.01,26.32%
Specialty Underwriters' Alliance,SUAI,Friedman Billings Ramsey,11-17-04,$9.50,$9.57,$9.91,0.74%
PRA International,PRAI,Credit Suisse First Boston/Bear Stearns,11-17-04,$19.00,$21.00,$21.00,10.53%
Iowa Telecommunications Services,IWA,Morgan Stanley/Merrill Lynch,11-17-04,$19.00,$20.80,$20.58,9.47%
Coinmach Service,DRY,Merrill Lynch,11-18-04,$13.64,$13.64,$13.64,0.00%
Monolithic Power Systems,MPWR,Goldman Sachs/Merrill Lynch,11-18-04,$8.50,$9.84,$9.06,15.76%
PortalPlayer,PLAY,Citigroup/Credit Suisse First Boston,11-18-04,$17.00,$25.80,$25.60,51.76%
UAP Holdings,UAPH,Goldman Sachs/Credit Suisse First Boston/UBS Investment Bank,11-22-04,$16.00,$16.32,$16.25,2.00%
Ninetowns Digital World Trade Holdings,NINE,JP Morgan,12-2-04,$11.00,$11.40,$14.00,3.64%
CABG Medical,CABG,Feltl/Ladenburg Thalmann,12-7-04,$5.50,$6.09,$6.40,10.73%
Foundation Coal Holdings,FCL,Morgan Stanley/Citigroup,12-8-04,$22.00,$21.75,$23.35,-1.14%
OccuLogix,RHEO,Citigroup,12-8-04,$12.00,$12.00,$13.00,0.00%
SYMMETRY Medical,SMA,Banc of America/Credit Suisse First Boston,12-8-04,$15.00,$18.60,$17.25,24.00%
First State Financial,FSTF,Advest,12-9-04,$12.00,$12.72,$12.75,6.00%
Bill Barrett,BBG,Goldman Sachs,12-9-04,$25.00,$29.05,$27.50,16.20%
HouseValues,SOLD,Credit Suisse First Boston/JP Morgan,12-9-04,$15.00,$15.74,$18.00,4.93%
Adeza Biomedical,ADZA,UBS Investment Bank,12-9-04,$16.00,$19.70,$17.00,23.13%
Community Bancorp,CBON,Keefe Bruyette & Woods/D.A. Davidson,12-9-04,$23.00,$29.35,$28.50,27.61%
Conor Medsystems,CONR,Citigroup,12-13-04,$13.00,$13.26,$13.10,2.00%
Comstock Homebuilding Companies,CHCI,BB&T Capital Markets,12-13-04,$16.00,$16.75,$19.00,4.69%
Orange 21,ORNG,Roth Capital Partners/First Albany,12-13-04,$8.75,$10.00,$9.65,14.29%
BlueLinx Holdings,BXC,Goldman Sachs/Morgan Stanley,12-13-04,$13.50,$13.50,$13.50,0.00%
Knoll,KNL,Goldman Sachs/UBS Investment Bank,12-13-04,$15.00,$17.10,$16.30,14.00%
Cascade Microtech,CSCD,Lehman Brothers/JP Morgan,12-14-04,$14.00,$13.75,$14.43,-1.79%
Great Wolf Resorts,WOLF,Citigroup,12-14-04,$17.00,$21.00,$22.50,23.53%
Las Vegas Sands,LVS,Goldman Sachs,12-14-04,$29.00,$46.56,$41.90,60.55%
The9 Limited,NCTY,Bear Stearns/CLSA CIBC World Markets,12-14-04,$17.00,$21.00,$19.00,23.53%
Spirit Finance,SFC,Banc of America/Citigroup,12-15-04,$11.00,$12.40,$12.05,12.73%
Feldman Mall Properties,FMP,Friedman Billings Ramsey,12-15-04,$13.00,$12.85,$13.00,-1.15%
Herbalife,HLF,Merrill Lynch/Morgan Stanley,12-15-04,$14.00,$14.72,$14.00,5.14%
Interline Brands,IBI,Credit Suisse First Boston/Lehman Brothers,12-15-04,$15.00,$17.30,$15.00,15.33%
Otelco Telecommunications,OTT,CIBC World Markets/RBC Capital Markets/UBS Investment Bank,12-15-04,$15.20,$15.25,$15.35,0.33%
Cambridge Display Technology,OLED,SG Cowen,12-15-04,$12.00,$11.27,$12.70,-6.08%
Advance America Cash Advance,AEA,Morgan Stanley,12-15-04,$15.00,$20.50,$20.50,36.67%
Arbinet-thexchange,ARBX,Merrill Lynch/Lehman Brothers,12-15-04,$17.50,$29.00,$26.85,65.71%
KMG AMERICA,KMA,Friedman Billings Ramsey,12-15-04,$9.50,$10.80,$10.50,13.68%
Warren Resources,WRES,KeyBanc Capital Markets,12-16-04,$7.50,$9.20,$10.00,22.67%
MHI,MDH,BB&T Capital Markets,12-16-04,$10.00,$10.00,$10.00,0.00%
Bancshares of Florida,BOFL,Advest,2-11-03,$10.00,$10.19,$10.50,1.86%
Infinity Property & Casualty,IPCC,CS First Boston/Merrill Lynch,2-12-03,$16.00,$15.90,$16.00,-0.62%
Accredited Home Lenders,LEND,"Friedman, Billings",2-14-03,$8.00,$7.25,$8.00,-9.38%
