Symbol,Company,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,T-10Days,T-90Days,T+100Days,SPY 90D Return,100 day Return
TIRX,TIAN RUIXIANG Holdings,Financials,2021-01-27,3.0,$4.00,$25.50,$12.52,213.00%,2021-01-17,2020-11-04,2021-05-07,0.09827518286800718,-0.21863356362494324
BTNB,Bridgetown 2 Holdings Ltd.,Blank Check,2021-01-26,26.0,$10.00,$13.00,$10.23,2.30%,2021-01-16,2020-11-03,2021-05-06,0.12282087822090483,-0.2199999735905574
EZGO,EZGO Technologies Ltd.,Consumer Goods,2021-01-26,2.8,$4.00,$18.11,$5.96,49.00%,2021-01-16,2020-11-03,2021-05-06,0.12282087822090483,-0.6797349533263064
HUDI,"Huadi International Group Co., Ltd.",Basic Materials,2021-01-22,3.1,$8.00,$7.13,$4.20,-47.50%,2021-01-12,2020-10-30,2021-05-02,0.16464824156445115,-0.28190746095653396
MNTK,Montauk Renewables,Oil & Gas,2021-01-22,3.0,$8.50,$11.73,$9.00,5.88%,2021-01-12,2020-10-30,2021-05-02,0.16464824156445115,-0.2165387946271629
PAX,Patria Investments Ltd.,Industrials,2021-01-22,30.1,$17.00,$19.90,$15.04,-11.53%,2021-01-12,2020-10-30,2021-05-02,0.16464824156445115,-0.3411977432697755
RLX,RLX Technology,Consumer Goods,2021-01-22,116.5,$12.00,$29.51,$9.08,-24.33%,2021-01-12,2020-10-30,2021-05-02,0.16464824156445115,-0.6309725429054872
DFH,Dream Finders Homes,Consumer Goods,2021-01-21,9.6,$13.00,$20.95,$22.14,70.31%,2021-01-11,2020-10-29,2021-05-01,0.16032849245261058,0.2066825663971251
MYTE,MYT Netherlands Parent B.V.,Consumer Goods,2021-01-21,15.7,$26.00,$31.00,$28.37,9.12%,2021-01-11,2020-10-29,2021-05-01,0.16032849245261058,-0.03322582860146799
DRVN,Driven Brands Holdings,Consumer Services,2021-01-15,31.8,$22.00,$26.69,$25.00,13.64%,2021-01-05,2020-10-23,2021-04-25,0.07109148666647098,-0.10199092427132851
PLTK,Playtika Holding Corp.,Technology,2021-01-15,69.5,$27.00,$31.62,$26.68,-1.19%,2021-01-05,2020-10-23,2021-04-25,0.07109148666647098,-0.14290126080448193
WOOF,"Petco Health and Wellness Company, Inc.",Consumer Goods,2021-01-14,48.0,$18.00,$29.40,$23.74,31.89%,2021-01-04,2020-10-22,2021-04-24,0.0895614043332756,-0.17414962579311483
POSH,"Poshmark, Inc.",Consumer Goods,2021-01-14,6.6,$42.00,$101.50,$38.75,-7.74%,2021-01-04,2020-10-22,2021-04-24,0.0895614043332756,-0.582167489188058
AFRM,Affirm Holdings,Consumer Services,2021-01-13,24.6,$49.00,$97.24,$65.00,32.65%,2021-01-03,2020-10-21,2021-04-23,0.09553787947385314,-0.2879156927540266
MSGM,Motorsport Games,Technology,2021-01-13,3.0,$20.00,$35.00,$19.22,-3.90%,2021-01-03,2020-10-21,2021-04-23,0.09553787947385314,-0.45428570338657925
KUKE,Kuke Music Holding Limited,Consumer Services,2021-01-12,5.0,$10.00,$10.10,$6.15,-38.50%,2021-01-02,2020-10-20,2021-04-22,0.09346414611857706,-0.38217826381803216
QLI,Qilian International Holding Group,Health Care,2021-01-12,5.0,$5.00,$10.00,$4.26,-14.80%,2021-01-02,2020-10-20,2021-04-22,0.09346414611857706,-0.5739999771118164
CGEM,Cullinan Management (Cullinan Oncology),Health Care,2021-01-08,11.9,$21.00,$29.91,$33.84,61.14%,2020-12-29,2020-10-16,2021-04-18,0.07620845218350324,0.1768639566203491
GRCL,Gracell Biotechnologies Inc.,Health Care,2021-01-08,11.0,$19.00,$25.06,$12.69,-33.21%,2020-12-29,2020-10-16,2021-04-18,0.07620845218350324,-0.48523543920813217
