Symbol,Company,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,T-10Days,T-90Days,T+100Days,SPY 90D Return,100 day Return
RGC,Regencell Bioscience Holdings Ltd.,Health Care,2021-07-16,2.3,$9.50,$10.50,$23.22,144.42%,2021-07-06,2021-04-23,2021-10-24,0.04414972486640787,0.4771428789411272
STVN,Stevanato Group S.p.A.,Health Care,2021-07-16,32.0,$21.00,$19.67,$16.19,-22.90%,2021-07-06,2021-04-23,2021-10-24,0.04414972486640787,0.26436201030860357
TCRX,TScan Therapeutics,Health Care,2021-07-16,6.7,$15.00,$10.50,$2.16,-85.60%,2021-07-06,2021-04-23,2021-10-24,0.04414972486640787,-0.25809524172828313
FXLV,F45 Training Holdings Inc.,Consumer Services,2021-07-15,20.3,$16.00,$16.20,$9.12,-43.00%,2021-07-05,2021-04-22,2021-10-23,0.05547079804393708,-0.18765436866410015
MCG,Membership Collective Group Inc.,Other,2021-07-15,30.0,$14.00,$12.66,$7.49,-46.50%,2021-07-05,2021-04-22,2021-10-23,0.05547079804393708,-0.06477090874466628
PECO,"Phillips Edison & Company, Inc.",Financials,2021-07-15,17.0,$28.00,$27.83,$33.86,20.93%,2021-07-05,2021-04-22,2021-10-23,0.05547079804393708,0.10240748793685943
RPID,"Rapid Micro Biosystems, Inc.",Health Care,2021-07-15,7.9,$20.00,$21.40,$5.83,-70.85%,2021-07-05,2021-04-22,2021-10-23,0.05547079804393708,-0.06962615877002036
SERA,"SERA PROGNOSTICS, INC.",Health Care,2021-07-15,4.7,$16.00,$11.90,$2.23,-86.06%,2021-07-05,2021-04-22,2021-10-23,0.05547079804393708,-0.13109239629833305
SGHT,"Sight Sciences, Inc.",Health Care,2021-07-15,10.0,$24.00,$33.50,$7.06,-70.58%,2021-07-05,2021-04-22,2021-10-23,0.05547079804393708,-0.23462688389109143
ARYE,ARYA Sciences Acquisition Corp V,Blank Check,2021-07-13,13.0,$10.00,$10.05,$9.71,-2.90%,2021-07-03,2021-04-20,2021-10-21,0.05572686562008684,-0.02487562141844296
SNTG,Sentage Holdings Inc.,Financials,2021-07-09,4.0,$5.00,$34.89,$0.69,-86.20%,2021-06-29,2021-04-16,2021-10-17,0.027820789114328462,-0.9317856074498229
RNAZ,"Transcode Therapeutics, Inc.",Health Care,2021-07-09,6.3,$4.00,$5.29,$2.80,-30.00%,2021-06-29,2021-04-16,2021-10-17,0.027820789114328462,-0.39130433802833153
ALCC,AltC Acquisition Corp. (formerly Churchill Capital Corp. VIII),Blank Check,2021-07-08,45.0,$10.00,$9.98,$9.74,-2.60%,2021-06-28,2021-04-15,2021-10-16,0.02918141050686858,-0.01903803497978172
MITQ,Moving iMage Technologies,Consumer Goods,2021-07-08,4.2,$3.00,$24.00,$1.19,-60.33%,2021-06-28,2021-04-15,2021-10-16,0.02918141050686858,-0.8762499988079071
NYXH,NYXOAH SA,Health Care,2021-07-02,2.8,$30.00,$30.11,$17.22,-42.60%,2021-06-22,2021-04-09,2021-10-10,0.026116958407290024,-0.10328796238158729
ABOS,"Acumen Pharmaceuticals, Inc.",Health Care,2021-07-01,10.0,$16.00,$20.10,$3.86,-75.88%,2021-06-21,2021-04-08,2021-10-09,0.01898921592588504,-0.33084579333318087
HEPS,D-MARKET Electronic Services & Trading (Hepsiburada),Consumer Goods,2021-07-01,56.7,$12.00,$13.43,$1.60,-86.67%,2021-06-21,2021-04-08,2021-10-09,0.01898921592588504,-0.5830230992270055
WAVE,Eco Wave Power Global AB,Technology,2021-07-01,1.0,$8.00,$10.85,$4.96,-38.00%,2021-06-21,2021-04-08,2021-10-09,0.01898921592588504,-0.3723502577557451
EVCM,EverCommerce Inc.,Technology,2021-07-01,19.1,$17.00,$17.60,$13.38,-21.29%,2021-06-21,2021-04-08,2021-10-09,0.01898921592588504,-0.031250064345921945
DNUT,"Krispy Kreme, Inc.",Consumer Goods,2021-07-01,29.4,$17.00,$21.00,$13.66,-19.65%,2021-06-21,2021-04-08,2021-10-09,0.01898921592588504,-0.32761905306861516
VRAR,"The Glimpse Group, Inc.",Technology,2021-07-01,1.8,$7.00,$17.66,$4.44,-36.57%,2021-06-21,2021-04-08,2021-10-09,0.01898921592588504,-0.5860702148391725
CURV,Torrid Holdings,Consumer Goods,2021-07-01,11.0,$21.00,$24.15,$5.76,-72.57%,2021-06-21,2021-04-08,2021-10-09,0.01898921592588504,-0.38923394480377804
AVTE,"Aerovate Therapeutics, Inc.",Health Care,2021-06-30,8.7,$14.00,$22.83,$12.75,-8.93%,2021-06-20,2021-04-07,2021-10-08,0.023826149621659232,-0.23784495502943107
YOU,"Clear Secure, Inc.",Technology,2021-06-30,13.2,$31.00,$40.00,$30.42,-1.87%,2021-06-20,2021-04-07,2021-10-08,0.023826149621659232,0.04674997329711914
CVRX,"CVRx, Inc.",Health Care,2021-06-30,7.0,$18.00,$28.00,$5.76,-68.00%,2021-06-20,2021-04-07,2021-10-08,0.023826149621659232,-0.4085714476449149
DIDI,DiDi Global Inc.,Technology,2021-06-30,317.0,$14.00,$14.14,$1.88,-86.57%,2021-06-20,2021-04-07,2021-10-08,0.023826149621659232,-0.44625178687470346
IAS,Integral Ad Science Holding,Technology,2021-06-30,15.0,$18.00,$20.58,$12.10,-32.78%,2021-06-20,2021-04-07,2021-10-08,0.023826149621659232,0.06948495191822461
LZ,"LegalZoom.com, Inc",Technology,2021-06-30,19.1,$28.00,$37.85,$14.55,-48.04%,2021-06-20,2021-04-07,2021-10-08,0.023826149621659232,-0.387582529996019
CPOP,"Pop Culture Group Co., Ltd",Consumer Services,2021-06-30,6.2,$6.00,$30.30,$1.05,-82.50%,2021-06-20,2021-04-07,2021-10-08,0.023826149621659232,-0.9046204561824095
S,SentinelOne,Technology,2021-06-30,35.0,$35.00,$42.50,$33.30,-4.86%,2021-06-20,2021-04-07,2021-10-08,0.023826149621659232,0.3355293722713695
DNAA,Social Capital Suvretta Holdings Corp. I,Blank Check,2021-06-30,22.0,$10.00,$10.11,$9.88,-1.20%,2021-06-20,2021-04-07,2021-10-08,0.023826149621659232,-0.02868446802186527
DNAB,Social Capital Suvretta Holdings Corp. II,Blank Check,2021-06-30,22.0,$10.00,$10.12,$9.74,-2.60%,2021-06-20,2021-04-07,2021-10-08,0.023826149621659232,-0.028162040576580942
DNAD,Social Capital Suvretta Holdings Corp. IV,Blank Check,2021-06-30,22.0,$10.00,$10.10,$9.76,-2.40%,2021-06-20,2021-04-07,2021-10-08,0.023826149621659232,-0.024752474312641624
XMTR,"Xometry, Inc.",Industrials,2021-06-30,6.9,$44.00,$87.39,$32.82,-25.41%,2021-06-20,2021-04-07,2021-10-08,0.023826149621659232,-0.3496967361486635
DDL,Dingdong (Cayman) Limited,Consumer Services,2021-06-29,3.7,$23.50,$23.52,$5.28,-77.53%,2021-06-19,2021-04-06,2021-10-07,0.02501095983254356,0.008078172747070168
GOBI,Gobi Acquisition Corp.,Blank Check,2021-06-29,25.0,$10.00,$9.91,$9.71,-2.90%,2021-06-19,2021-04-06,2021-10-07,0.02501095983254356,-0.008072646310579492
ACXP,"Acurx Pharmaceuticals, LLC*",Health Care,2021-06-25,2.5,$6.00,$7.89,$3.73,-37.83%,2021-06-15,2021-04-02,2021-10-03,0.04651050998920072,-0.3396704529391028
TKNO,"Alpha Teknova, Inc.",Health Care,2021-06-25,6.0,$16.00,$25.00,$11.70,-26.88%,2021-06-15,2021-04-02,2021-10-03,0.04651050998920072,0.06879997253417969
ELEV,"Elevation Oncology, Inc.",Health Care,2021-06-25,6.3,$16.00,$11.44,$2.84,-82.25%,2021-06-15,2021-04-02,2021-10-03,0.04651050998920072,-0.29982512913576015
GHRS,GH Research PLC,Health Care,2021-06-25,10.0,$16.00,$19.25,$15.06,-5.88%,2021-06-15,2021-04-02,2021-10-03,0.04651050998920072,0.12051946466619318
GRPH,"Graphite Bio, Inc.",Health Care,2021-06-25,14.0,$17.00,$18.50,$4.02,-76.35%,2021-06-15,2021-04-02,2021-10-03,0.04651050998920072,-0.09675680624472129
MF,Missfresh Limited,Consumer Services,2021-06-25,21.0,$13.00,$9.66,$0.52,-96.00%,2021-06-15,2021-04-02,2021-10-03,0.04651050998920072,-0.5672877956143617
MCW,"Mister Car Wash, Inc.",Consumer Services,2021-06-25,37.5,$15.00,$20.30,$14.40,-4.00%,2021-06-15,2021-04-02,2021-10-03,0.04651050998920072,-0.0571428517738249
BON,Bon Natural Life Limited,Consumer Services,2021-06-24,2.2,$5.00,$7.20,$5.16,3.20%,2021-06-14,2021-04-01,2021-10-02,0.059159848677595064,0.0819444678079941
BHG,Bright Health Group,Health Care,2021-06-24,51.4,$18.00,$16.64,$1.80,-90.00%,2021-06-14,2021-04-01,2021-10-02,0.059159848677595064,-0.5066105565331737
CFLT,"Confluent, Inc.",Technology,2021-06-24,23.0,$36.00,$45.02,$32.00,-11.11%,2021-06-14,2021-04-01,2021-10-02,0.059159848677595064,0.4118169863841068
DOCS,"Doximity, Inc.",Technology,2021-06-24,23.3,$26.00,$53.00,$39.87,53.35%,2021-06-14,2021-04-01,2021-10-02,0.05915981280395509,0.49792451678581956
GRVI,"GROVE, INC.",Consumer Goods,2021-06-24,2.2,$5.00,$5.60,$4.33,-13.40%,2021-06-14,2021-04-01,2021-10-02,0.059159848677595064,-0.12857139329520964
MIRO,Miromatrix Medical Inc.,Health Care,2021-06-24,4.8,$9.00,$15.24,$3.42,-62.00%,2021-06-14,2021-04-01,2021-10-02,0.059159848677595064,-0.5426509255334288
GLUE,Monte Rosa Therapeutics,Health Care,2021-06-24,11.7,$19.00,$21.18,$10.90,-42.63%,2021-06-14,2021-04-01,2021-10-02,0.059159848677595064,-0.052407960073556296
MITAU,Coliseum Acquisition Corp.,Blank Check,2021-06-23,15.0,$10.00,$9.90,$9.80,-2.00%,2021-06-13,2021-03-31,2021-10-01,0.07059774460253362,0.00505052451126116
FA,First Advantage Corp.,Other,2021-06-23,25.5,$15.00,$19.70,$17.34,15.60%,2021-06-13,2021-03-31,2021-10-01,0.07059774460253362,-0.0329950000358233
CXM,"Sprinklr, Inc.",Technology,2021-06-23,16.6,$16.00,$17.60,$13.65,-14.69%,2021-06-13,2021-03-31,2021-10-01,0.07059774460253362,-0.0056818397330839045
YMM,Full Truck Alliance Co. Ltd.,Technology,2021-06-22,82.5,$19.00,$21.50,$6.03,-68.26%,2021-06-12,2021-03-30,2021-09-30,0.07493723984057193,-0.2828571228753953
RERE,AiHuiShou International Co. Ltd.,Consumer Goods,2021-06-18,16.2,$14.00,$17.21,$2.84,-79.71%,2021-06-08,2021-03-26,2021-09-26,0.06619023763796028,-0.4055781472140739
AMAM,Ambrx Biopharma,Health Care,2021-06-18,7.0,$18.00,$17.05,$3.66,-79.67%,2021-06-08,2021-03-26,2021-09-26,0.06619023763796028,-0.20703806083603402
ATAI,ATAI Life Sciences B.V.*,Health Care,2021-06-18,15.0,$15.00,$19.45,$4.29,-71.40%,2021-06-08,2021-03-26,2021-09-26,0.06619023763796028,-0.17737792429875768
IPSC,"Century Therapeutics, Inc.",Health Care,2021-06-18,10.6,$20.00,$0.00,$12.02,-39.90%,2021-06-08,2021-03-26,2021-09-26,0.06619012299658443,0.008760436426098177
DNAY,Codex DNA,Health Care,2021-06-18,6.7,$16.00,$18.50,$3.90,-75.63%,2021-06-08,2021-03-26,2021-09-26,0.06619020624755016,-0.4027026923927101
CYT,Cyteir Therapeutics,Health Care,2021-06-18,7.4,$18.00,$17.40,$2.25,-87.50%,2021-06-08,2021-03-26,2021-09-26,0.06619012299658443,-0.11264368282282342
FEMY,Femasys Inc.,Health Care,2021-06-18,2.7,$13.00,$12.00,$1.63,-87.46%,2021-06-08,2021-03-26,2021-09-26,0.06619023763796028,-0.36749998728434247
TRMR,Tremor International Ltd.,Technology,2021-06-18,6.8,$19.00,$17.90,$11.65,-38.68%,2021-06-08,2021-03-26,2021-09-26,0.06619023763796028,0.12346374519100392
AOMR,"Angel Oak Mortgage, Inc.",Financials,2021-06-17,8.1,$19.00,$18.65,$16.16,-14.95%,2021-06-07,2021-03-25,2021-09-25,0.08442369625552738,-0.12493297433588216
ISPC,iSpecimen Inc.,Health Care,2021-06-17,2.3,$8.00,$7.15,$3.19,-60.13%,2021-06-07,2021-03-25,2021-09-25,0.08442393645718994,-0.16083917203197384
LYEL,"Lyell Immunopharma, Inc.",Health Care,2021-06-17,25.0,$17.00,$16.89,$5.13,-69.82%,2021-06-07,2021-03-25,2021-09-25,0.08442393645718994,-0.27294255910409493
VERV,Verve Therapeutics,Health Care,2021-06-17,14.0,$19.00,$31.92,$15.39,-19.00%,2021-06-07,2021-03-25,2021-09-25,0.08442393645718994,0.5015664220117593
CNVY,Convey Holding (Convey Health Solutions),Consumer Services,2021-06-16,13.3,$14.00,$13.00,$5.09,-63.64%,2021-06-06,2021-03-24,2021-09-24,0.0905244410396997,-0.3938461450430063
MOLN,MOLECULAR PARTNERS AG,Health Care,2021-06-16,3.0,$21.25,$0.00,$8.70,-59.06%,2021-06-06,2021-03-24,2021-09-24,0.09052436377203107,-0.013740481577875299
WKME,WalkMe Ltd.,Technology,2021-06-16,9.3,$31.00,$28.85,$16.10,-48.06%,2021-06-06,2021-03-24,2021-09-24,0.0905244410396997,0.06699064008860267
ALZN,Alzamend Neuro,Health Care,2021-06-15,2.5,$5.00,$13.50,$1.02,-79.60%,2021-06-05,2021-03-23,2021-09-23,0.08498074561390752,-0.8251851929558648
JANX,"Janux Therapeutics, Inc.",Health Care,2021-06-11,11.4,$17.00,$25.15,$9.84,-42.12%,2021-06-01,2021-03-19,2021-09-19,0.07846353832569863,0.08906559861208722
BZ,Kanzhun Ltd.,Technology,2021-06-11,48.0,$19.00,$37.20,$20.85,9.74%,2021-06-01,2021-03-19,2021-09-19,0.07846353832569863,0.03602150873939947
TASK,"TaskUs, Inc.",Technology,2021-06-11,13.2,$23.00,$31.09,$28.89,25.61%,2021-06-01,2021-03-19,2021-09-19,0.07846353832569863,1.310710710366811
DIBS,"1stdibs.com, Inc.",Consumer Goods,2021-06-10,5.8,$20.00,$28.50,$7.56,-62.20%,2021-05-31,2021-03-18,2021-09-18,0.07646806118273491,-0.4726315883168003
LFST,"LifeStance Health Group, Inc.",Health Care,2021-06-10,40.0,$18.00,$21.90,$6.77,-62.39%,2021-05-31,2021-03-18,2021-09-18,0.07646806118273491,-0.31187214806738983
MNDY,monday.com Ltd.,Technology,2021-06-10,3.7,$155.00,$178.87,$132.88,-14.27%,2021-05-31,2021-03-18,2021-09-18,0.07646806118273491,1.0917426293401433
ZETA,Zeta Global Holdings,Technology,2021-06-10,21.5,$10.00,$8.89,$10.83,8.30%,2021-05-31,2021-03-18,2021-09-18,0.07646806118273491,-0.29021375713230896
MQ,"Marqeta, Inc.",Technology,2021-06-09,45.5,$27.00,$30.52,$9.30,-65.56%,2021-05-30,2021-03-17,2021-09-17,0.060805823418474694,-0.03440370670578023
ZME,Zhangmen Education Inc.,Consumer Services,2021-06-08,3.6,$11.50,$16.99,$0.85,-92.61%,2021-05-29,2021-03-16,2021-09-16,0.06442297889416294,-0.8122424896883612
DLO,DLocal Limited,Technology,2021-06-03,29.4,$21.00,$32.39,$23.65,12.62%,2021-05-24,2021-03-11,2021-09-11,0.057858447373044825,0.9364001976717509
CNTA,Centessa Pharmaceuticals plc,Health Care,2021-05-28,16.5,$20.00,$21.75,$8.72,-56.40%,2021-05-18,2021-03-05,2021-09-05,0.0866743823231076,0.06252876369432471
DAWN,Day One Biopharmaceuticals Holding Co,Health Care,2021-05-27,10.0,$16.00,$25.89,$8.52,-46.75%,2021-05-17,2021-03-04,2021-09-04,0.10948848307496142,0.17191493257563165
FIGS,"FIGS, Inc.",Consumer Goods,2021-05-27,26.4,$22.00,$30.02,$15.66,-28.82%,2021-05-17,2021-03-04,2021-09-04,0.10948874815087843,0.4823450806607686
OMIC,Singular Genomics Systems,Health Care,2021-05-27,10.2,$22.00,$25.72,$4.49,-79.59%,2021-05-17,2021-03-04,2021-09-04,0.10948865349255,-0.3485568367923568
DYNS,Dynamics Special Purpose Corp.,Blank Check,2021-05-26,20.0,$10.00,$9.98,$9.90,-1.00%,2021-05-16,2021-03-03,2021-09-03,0.09575888501416653,-0.005009943823037791
FLYW,Flywire Corp,Technology,2021-05-26,10.4,$24.00,$35.10,$30.51,27.13%,2021-05-16,2021-03-03,2021-09-03,0.09575888501416653,0.3709402001075071
PAY,"Paymentus Holdings, Inc.",Technology,2021-05-26,10.0,$21.00,$28.61,$16.56,-21.14%,2021-05-16,2021-03-03,2021-09-03,0.09575888501416653,-0.060817886543092343
ZIP,ZipRecruiter,Technology,2021-05-26,86.6,$20.00,$21.10,$22.51,12.55%,2021-05-16,2021-03-03,2021-09-03,0.09575888501416653,0.22985783382871666
FWAC,Fifth Wall Acquisition Corp. III,Blank Check,2021-05-25,25.0,$10.00,$10.00,$9.74,-2.60%,2021-05-15,2021-03-02,2021-09-02,0.08124478588286078,-0.013000011444091797
OTLY,Oatly Group AB,Consumer Goods,2021-05-20,84.4,$17.00,$20.20,$3.56,-79.06%,2021-05-10,2021-02-25,2021-08-28,0.1076884549166192,-0.09405947792659503
PCOR,Procore Technologies,Technology,2021-05-20,9.5,$67.00,$88.00,$55.47,-17.21%,2021-05-10,2021-02-25,2021-08-28,0.1076884549166192,0.08045456626198509
SQSP,"Squarespace, Inc.",Technology,2021-05-19,40.4,$50.00,$43.65,$19.97,-60.06%,2021-05-09,2021-02-24,2021-08-27,0.08099790769636075,0.022451306024704555
VERA,"Vera Therapeutics, Inc.",Health Care,2021-05-14,4.4,$11.00,$11.50,$20.00,81.82%,2021-05-04,2021-02-19,2021-08-22,0.07573700459808552,0.6434782276982847
GLBE,Global-E Online Ltd.,Technology,2021-05-12,15.0,$25.00,$25.50,$23.94,-4.24%,2021-05-02,2021-02-17,2021-08-20,0.06696581434108315,1.7643136417164522
IPW,iPower Inc.,Consumer Goods,2021-05-12,3.4,$5.00,$5.74,$1.29,-74.20%,2021-05-02,2021-02-17,2021-08-20,0.06696585869955424,-0.2247386782738029
SMWB,SimilarWeb Ltd.,Technology,2021-05-12,8.0,$22.00,$21.87,$13.48,-38.73%,2021-05-02,2021-02-17,2021-08-20,0.06696581434108315,-0.06995887644872804
FLGC,Flora Growth,Health Care,2021-05-11,3.3,$5.00,$4.79,$1.44,-71.20%,2021-05-01,2021-02-16,2021-08-19,0.06721069601950706,1.32776611843998
ANEB,"Anebulo Pharmaceuticals, Inc.",Health Care,2021-05-07,3.0,$7.00,$7.10,$4.02,-42.57%,2021-04-27,2021-02-12,2021-08-15,0.06707862992058962,-0.017183062287224007
BWMN,Bowman Consulting Group Ltd.,Other,2021-05-07,3.7,$14.00,$14.00,$16.69,19.21%,2021-04-27,2021-02-12,2021-08-15,0.06707862992058962,-0.021428585052490234
OG,Onion Global Limited,Consumer Goods,2021-05-07,9.3,$7.25,$7.00,$1.38,-80.97%,2021-04-27,2021-02-12,2021-08-15,0.06707862992058962,-0.5514285564422607
TALS,Talaris Therapeutics,Health Care,2021-05-07,8.8,$17.00,$16.25,$7.06,-58.47%,2021-04-27,2021-02-12,2021-08-15,0.06707862992058962,-0.17907691368689904
WDH,Waterdrop Inc.,Financials,2021-05-07,30.0,$12.00,$9.70,$1.53,-87.25%,2021-04-27,2021-02-12,2021-08-15,0.06707862992058962,-0.6402061775090754
VALN,Valneva SE,Health Care,2021-05-06,3.5,$26.41,$28.35,$26.23,-0.68%,2021-04-26,2021-02-11,2021-08-14,0.07011577689693449,-0.06014108997404055
FSBC,Five Star Bancorp,Financials,2021-05-05,5.3,$20.00,$24.25,$24.95,24.75%,2021-04-25,2021-02-10,2021-08-13,0.07184404153189088,0.03740891547031138
HNST,"The Honest Company, Inc.",Consumer Goods,2021-05-05,25.8,$16.00,$23.00,$4.07,-74.56%,2021-04-25,2021-02-10,2021-08-13,0.07184404153189088,-0.3891304264897886
NPCE,NeuroPace Inc.,Health Care,2021-04-22,6.0,$17.00,$0.00,$0.00,0.00%,2021-04-12,2021-01-28,2021-07-31,0.09323332979489676,-0.1466346146498441
ZY,"Zymergen, Inc.",Consumer Services,2021-04-22,16.3,$31.00,$0.00,$0.00,0.00%,2021-04-12,2021-01-28,2021-07-31,0.09323325107326633,-0.07596282853762244
DV,"DoubleVerify Holdings, Inc.",Technology,2021-04-21,13.3,$27.00,$36.00,$36.00,33.33%,2021-04-11,2021-01-27,2021-07-30,0.10263539156921811,-0.002777735392252604
SKYT,"SkyWater Technology, Inc.",Technology,2021-04-21,7.0,$14.00,$17.74,$17.74,26.71%,2021-04-11,2021-01-27,2021-07-30,0.10263539156921811,-0.04453207544370316
PATH,"UiPath, Inc.",Technology,2021-04-21,23.9,$56.00,$69.00,$69.00,23.21%,2021-04-11,2021-01-27,2021-07-30,0.10263539156921811,-0.08623189511506454
IFBD,"Infobird Co., Ltd",Technology,2021-04-20,6.3,$4.00,$6.03,$4.74,18.50%,2021-04-10,2021-01-26,2021-07-29,0.07568643794379444,-0.42122721590292195
AKYA,"Akoya Biosciences, Inc.",Health Care,2021-04-16,6.6,$20.00,$26.05,$23.97,19.85%,2021-04-06,2021-01-22,2021-07-25,0.06480071845779958,-0.37120922685236507
BMEA,Biomea Fusion,Health Care,2021-04-16,9.0,$17.00,$18.60,$17.46,2.71%,2021-04-06,2021-01-22,2021-07-25,0.06480071845779958,-0.2881720699151958
RXRX,Recursion Pharmaceuticals,Health Care,2021-04-16,24.2,$18.00,$31.30,$32.55,80.83%,2021-04-06,2021-01-22,2021-07-25,0.06480071845779958,0.12012786670545551
AGL,"agilon health, inc.",Health Care,2021-04-15,46.6,$23.00,$31.00,$32.50,41.30%,2021-04-05,2021-01-21,2021-07-24,0.046018267212950936,0.18967745381016884
APP,AppLovin Corporation,Technology,2021-04-15,25.0,$80.00,$65.20,$61.81,-22.74%,2021-04-05,2021-01-21,2021-07-24,0.046018267212950936,-0.028374211053869846
EBET,"Esports Technologies, Inc.",Consumer Services,2021-04-15,2.4,$6.00,$36.42,$22.50,275.00%,2021-04-05,2021-01-21,2021-07-24,0.046018267212950936,-0.4165293501272194
KRT,Karat Packaging Inc.,Industrials,2021-04-15,4.0,$16.00,$18.56,$18.00,12.50%,2021-04-05,2021-01-21,2021-07-24,0.046018267212950936,0.28125007386351664
TSP,TuSimple Holdings Inc.,Technology,2021-04-15,33.8,$40.00,$40.25,$38.00,-5.00%,2021-04-05,2021-01-21,2021-07-24,0.046018267212950936,0.08699998855590821
ALKT,"Alkami Technology, Inc.",Technology,2021-04-14,6.0,$30.00,$43.00,$42.05,40.17%,2021-04-04,2021-01-20,2021-07-23,0.04697193550379776,-0.25813954375510995
COIN,"Coinbase Global, Inc.",Consumer Services,2021-04-14,114.9,$381.00,$328.28,$311.92,-18.13%,2021-04-04,2021-01-20,2021-07-23,0.04697193550379776,-0.3113195970764926
TCVA,TCV Acquisition Corp.,Blank Check,2021-04-14,35.0,$10.00,$10.60,$10.49,4.90%,2021-04-04,2021-01-20,2021-07-23,0.04697193550379776,-0.06509438766283764
YTPG,TPG Pace Beneficial II Corp.,Blank Check,2021-04-14,35.0,$10.00,$10.11,$10.16,1.60%,2021-04-04,2021-01-20,2021-07-23,0.04697193550379776,-0.01879323311923297
RPHM,Reneo Pharmaceuticals,Health Care,2021-04-09,6.3,$15.00,$13.89,$12.80,-14.67%,2021-03-30,2021-01-15,2021-07-18,0.056897239364375025,-0.36285096020720203
VECT,VectivBio Holding AG,Health Care,2021-04-09,7.5,$17.00,$24.23,$15.32,-9.88%,2021-03-30,2021-01-15,2021-07-18,0.056897239364375025,-0.5542715478838978
PANA,Panacea Acquisition Corp. II,Blank Check,2021-04-07,15.0,$10.00,$10.00,$10.05,0.50%,2021-03-28,2021-01-13,2021-07-16,0.04604371021981608,0.00010004043579101563
UTME,UTime Limited,Technology,2021-04-06,3.8,$4.00,$39.00,$38.20,855.00%,2021-03-27,2021-01-12,2021-07-15,0.0488606626270936,-0.7664102652134039
COMP,"Compass, Inc.",Technology,2021-04-01,25.0,$18.00,$20.15,$17.22,-4.33%,2021-03-22,2021-01-07,2021-07-10,0.030745570606947985,-0.3300248012121461
ULCC,"Frontier Group Holdings, Inc.",Consumer Services,2021-04-01,30.0,$19.00,$18.85,$19.33,1.74%,2021-03-22,2021-01-07,2021-07-10,0.030745570606947985,-0.16551728255138282
KARO,Karooooo Ltd. (Cartrack),Technology,2021-04-01,1.1,$28.00,$33.99,$32.55,16.25%,2021-03-22,2021-01-07,2021-07-10,0.030745570606947985,0.05266245991285342
EM,Smart Share Global Limited,Technology,2021-04-01,17.7,$8.50,$8.54,$8.54,0.47%,2021-03-22,2021-01-07,2021-07-10,0.030745570606947985,-0.39110072219053854
ACHL,Achilles Therapeutics plc,Health Care,2021-03-31,9.8,$18.00,$16.55,$16.00,-11.11%,2021-03-21,2021-01-06,2021-07-09,0.046059853913519425,-0.5413896977353605
COUR,"Coursera, Inc.",Technology,2021-03-31,15.7,$33.00,$45.00,$41.00,24.24%,2021-03-21,2021-01-06,2021-07-09,0.046059853913519425,-0.12666668362087674
ALHC,"Alignment Healthcare, Inc.",Health Care,2021-03-26,27.2,$18.00,$17.31,$23.02,27.89%,2021-03-16,2021-01-01,2021-07-04,0.07489358044315647,0.324090166576221
DSGN,"Design Therapeutics, Inc.",Health Care,2021-03-26,12.0,$20.00,$41.49,$21.35,6.75%,2021-03-16,2021-01-01,2021-07-04,0.07489358044315647,-0.4307556140602951
EWTX,Edgewise Therapeutics,Health Care,2021-03-26,11.0,$16.00,$30.00,$26.71,66.94%,2021-03-16,2021-01-01,2021-07-04,0.07489358044315647,-0.3196666717529297
HYW,Hywin Holdings Ltd.,Financials,2021-03-26,3.0,$10.00,$9.90,$6.40,-36.00%,2021-03-16,2021-01-01,2021-07-04,0.07489358044315647,-0.23818180732271627
IKNA,"Ikena Oncology, Inc. (formerly KYN Therapeutics)",Health Care,2021-03-26,7.8,$16.00,$32.00,$18.39,14.94%,2021-03-16,2021-01-01,2021-07-04,0.07489358044315647,-0.5856249928474426
TDUP,ThredUp Inc.,Consumer Goods,2021-03-26,12.0,$14.00,$20.00,$16.65,18.93%,2021-03-16,2021-01-01,2021-07-04,0.07489358044315647,0.34200000762939453
ZH,Zhihu Inc.,Consumer Services,2021-03-26,55.0,$9.50,$8.50,$9.60,1.05%,2021-03-16,2021-01-01,2021-07-04,0.07489358044315647,0.4717647328096278
CRCT,"Cricut, Inc.",Industrials,2021-03-25,15.3,$20.00,$17.80,$20.35,1.75%,2021-03-15,2020-12-31,2021-07-03,0.05397451502425546,0.9488889906141493
DSEY,"Diversey Holdings, Ltd.",Other,2021-03-25,46.2,$15.00,$14.98,$15.00,0.00%,2021-03-15,2020-12-31,2021-07-03,0.05397451502425546,0.17890523278184897
LVTX,LAVA Therapeutics BV,Health Care,2021-03-25,6.7,$15.00,$14.30,$13.61,-9.27%,2021-03-15,2020-12-31,2021-07-03,0.05397451502425546,-0.13199996948242188
OLK,Olink Holding AB,Health Care,2021-03-25,17.7,$20.00,$36.00,$37.08,85.40%,2021-03-15,2020-12-31,2021-07-03,0.05397451502425546,0.09037266392742976
SEMR,"SEMrush Holdings, Inc.",Technology,2021-03-25,10.0,$14.00,$11.22,$15.67,11.93%,2021-03-15,2020-12-31,2021-07-03,0.05397451502425546,1.0124776636645758
VZIO,Vizio Holding Corp.,Consumer Goods,2021-03-25,12.3,$21.00,$19.10,$23.07,9.86%,2021-03-15,2020-12-31,2021-07-03,0.05397451502425546,0.2308434176157756
ACVA,ACV Auctions Inc.,Other,2021-03-24,16.6,$25.00,$31.25,$33.41,33.64%,2021-03-14,2020-12-30,2021-07-02,0.05932952528237714,-0.20447998046875
