Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
Tradeweb Markets,TW,Financials,4/4/2019,40,$27.00,$35.81,$43.81,62.26%
Ruhnn Holding Ltd.,RUHN,Consumer Goods,4/3/2019,10,$12.50,$7.85,$3.44,-72.48%
"Powerbridge Technologies Co., Ltd.",PBTS,Technology,4/2/2019,1.8,$5.00,$5.21,$3.58,-28.40%
Lyft,LYFT,Consumer Services,3/29/2019,32.5,$72.00,$78.29,$65.71,-8.74%
Levi Strauss & Co.,LEVI,Consumer Goods,3/21/2019,36.7,$17.00,$22.41,$20.88,22.82%
UP Fintech Holding Limited,TIGR,Financials,3/20/2019,13,$8.00,$10.92,$5.57,-30.38%
Futu Holdings Limited,FHL,Financials,3/8/2019,7.5,$12.00,$15.32,$10.57,-11.92%
ShockWave Medical,SWAV,Health Care,3/7/2019,5.7,$17.00,$30.50,$57.09,235.82%
Kaleido Biosciences,KLDO,Health Care,2/28/2019,5,$15.00,$14.23,$11.60,-22.67%
Super League Gaming,SLGG,Consumer Services,2/26/2019,2.3,$11.00,$8.50,$8.55,-22.27%
Hoth Therapeutics,HOTH,Health Care,2/15/2019,1.3,$5.60,$8.53,$5.81,3.75%
Avedro,AVDR,Health Care,2/14/2019,5,$14.00,$12.29,$19.64,40.29%
TCR2 Therapeutics,TCRR,Health Care,2/14/2019,5,$15.00,$15.07,$14.31,-4.60%
Harpoon Therapeutics,HARP,Health Care,2/8/2019,5.4,$14.00,$13.50,$13.00,-7.14%
Alector,ALEC,Health Care,2/7/2019,9.3,$19.00,$18.00,$19.00,0.00%
New Fortress Energy,NFE,Oil & Gas,1/31/2019,20,$14.00,$13.07,$11.71,-16.36%
MMTEC,MTC,Technology,1/8/2019,1.8,$4.00,$5.94,$16.83,320.75%
360 Finance,QFIN,Financials,12/14/2018,3.1,$16.50,$16.50,$11.75,-28.79%
Tencent Music Entertainment Group,TME,Consumer Services,12/12/2018,82,$13.00,$14.00,$14.99,15.31%
Moderna,MRNA,Health Care,12/7/2018,26.3,$23.00,$18.60,$14.64,-36.35%
Synthorx,THOR,Health Care,12/7/2018,11.9,$11.00,$12.61,$13.51,22.82%
MOGU,MOGU,Consumer Goods,12/6/2018,4.8,$14.00,$14.00,$2.85,-79.64%
Medalist Diversified REIT,MDRR,Financials,11/28/2018,0.2,$10.00,$9.40,$4.38,-56.20%
TuanChe Limited,TC,Consumer Goods,11/20/2018,2.6,$7.80,$7.83,$3.06,-60.77%
Bain Capital Specialty Finance,BCSF,Financials,11/15/2018,7.5,$20.25,$18.00,$18.62,-8.05%
Weidai Ltd.,WEI,Financials,11/15/2018,4.5,$10.00,$10.25,$9.00,-10.00%
Vapotherm,VAPO,Health Care,11/14/2018,4,$14.00,$16.00,$23.00,64.29%
Eton Pharmaceuticals,ETON,Health Care,11/13/2018,3.6,$6.00,$6.25,$7.90,31.67%
CNFinance Holdings Limited,CNF,Financials,11/7/2018,6.5,$7.50,$7.60,$5.93,-20.93%
Axonics Modulation Technologies,AXNX,Health Care,10/31/2018,8,$15.00,$14.98,$40.97,173.13%
Orchard Rx Ltd.,ORTX,Health Care,10/31/2018,14.3,$14.00,$14.00,$13.99,-0.07%
Twist Bioscience,TWST,Health Care,10/31/2018,5,$14.00,$14.00,$29.01,107.21%
Gamida Cell Ltd.,GMDA,Health Care,10/26/2018,6.3,$8.00,$8.44,$5.08,-36.50%
Pintec Technology Holdings,PT,Technology,10/25/2018,3.7,$11.88,$12.49,$2.97,-75.00%
YETI Holdings,YETI,Consumer Goods,10/25/2018,16,$18.00,$17.00,$28.95,60.83%
LogicBio Therapeutics,LOGC,Health Care,10/19/2018,7,$10.00,$11.50,$13.00,30.00%
Niu Technologies,NIU,Consumer Goods,10/19/2018,7,$9.00,$8.65,$5.91,-34.33%
SolarWinds,SWI,Technology,10/19/2018,25,$15.00,$15.03,$18.34,22.27%
Osmotica Pharmaceuticals plc,OSMT,Health Care,10/18/2018,6.7,$7.00,$8.15,$3.80,-45.71%
PhaseBio Pharmaceuticals,PHAS,Health Care,10/18/2018,9.2,$5.00,$5.00,$13.12,162.40%
Studio City International Holdings,MSC,Consumer Services,10/18/2018,28.8,$12.50,$15.50,$19.82,58.56%
SI-BONE,SIBN,Health Care,10/17/2018,7.2,$15.00,$20.06,$20.34,35.60%
Anaplan,PLAN,Technology,10/12/2018,15.5,$17.00,$24.30,$50.47,196.88%
Equillium,EQ,Health Care,10/12/2018,4.7,$14.00,$14.00,$5.66,-59.57%
Allogene Therapeutics,ALLO,Health Care,10/11/2018,18,$18.00,$25.00,$26.85,49.17%
Livent,LTHM,Basic Materials,10/11/2018,20,$17.00,$16.97,$6.92,-59.29%
Elastic N.V.,ESTC,Technology,10/5/2018,7,$36.00,$70.00,$74.66,107.39%
Guardant Health,GH,Health Care,10/4/2018,12.5,$19.00,$32.20,$86.33,354.37%
Kodiak Sciences Inc.,KOD,Health Care,10/4/2018,9,$10.00,$10.16,$11.70,17.00%
Upwork,UPWK,Technology,10/3/2018,12.5,$15.00,$21.18,$16.08,7.20%
CooTek (Cayman) Inc.,CTK,Technology,9/28/2018,4.4,$12.00,$9.44,$9.59,-20.08%
Arvinas,ARVN,Health Care,9/27/2018,7.5,$16.00,$16.05,$21.99,37.44%
LAIX Inc.,LAIX,Consumer Services,9/27/2018,5.8,$12.50,$12.65,$10.48,-16.16%
Ra Medical Systems,RMED,Health Care,9/27/2018,3.9,$17.00,$20.00,$3.62,-78.71%
Urovant Sciences,UROV,Health Care,9/27/2018,10,$14.00,$11.65,$7.91,-43.50%
Arco Platform Ltd.,ARCE,Consumer Services,9/26/2018,11.1,$17.50,$23.50,$43.78,150.17%
Capital Bancorp,CBNK,Financials,9/26/2018,2.2,$12.50,$12.80,$12.30,-1.60%
Entasis Therapeutics Holdings,ETTX,Health Care,9/26/2018,5,$15.00,$10.66,$6.45,-57.00%
SVMK (SurveyMonkey),SVMK,Technology,9/26/2018,12,$12.00,$17.24,$16.51,37.58%
"Viomi Technology Co., Ltd.",VIOT,Consumer Goods,9/25/2018,11.4,$9.00,$9.08,$8.11,-9.89%
Farfetch Ltd.,FTCH,Consumer Goods,9/21/2018,44.2,$20.00,$28.45,$20.80,4.00%
Sutro Biopharma,STRO,Health Care,9/21/2018,5.7,$15.00,$15.20,$11.38,-24.13%
Y-mAbs Therapeutics,YMAB,Health Care,9/21/2018,6,$16.00,$24.00,$22.87,42.94%
Bank7,BSVN,Financials,9/20/2018,3.4,$19.00,$19.09,$18.49,-2.68%
Elanco Animal Health,ELAN,Health Care,9/20/2018,62.9,$24.00,$36.00,$33.80,40.83%
Eventbrite,EB,Technology,9/20/2018,10,$23.00,$36.50,$16.20,-29.57%
X Financial,XYF,Financials,9/19/2018,11,$9.50,$11.91,$3.75,-60.53%
FVCBankcorp,FVCB,Financials,9/14/2018,1.8,$20.00,$20.00,$19.42,-2.90%
Principia Biopharma,PRNB,Health Care,9/14/2018,6.3,$17.00,$32.65,$33.19,95.24%
Qutoutiao,QTT,Technology,9/14/2018,12,$7.00,$15.97,$3.94,-43.71%
111,YI,Consumer Goods,9/12/2018,7.2,$14.00,$13.80,$5.56,-60.29%
NIO Inc.,NIO,Consumer Goods,9/12/2018,160,$6.26,$6.60,$2.55,-59.27%
Aridis Pharmaceuticals,ARDS,Health Care,8/14/2018,2,$13.00,$13.00,$10.17,-21.77%
Mesa Air Group,MESA,Industrials,8/10/2018,9.6,$12.00,$11.75,$9.14,-23.83%
Vaccinex,VCNX,Health Care,8/9/2018,3.3,$12.00,$11.38,$5.52,-54.00%
Arlo Technologies,ARLO,Technology,8/3/2018,10.2,$16.00,$22.10,$4.01,-74.94%
Cushman & Wakefield plc,CWK,Financials,8/2/2018,45,$17.00,$17.81,$17.88,5.18%
Sonos,SONO,Technology,8/2/2018,13.9,$15.00,$19.91,$11.34,-24.40%
Berry Petroleum,BRY,Health Care,7/27/2018,13,$14.00,$13.25,$10.60,-24.29%
Endava Ltd.,DAVA,Technology,7/27/2018,6.3,$20.00,$25.20,$40.24,101.20%
Opera Ltd.,OPRA,Technology,7/27/2018,9.6,$12.00,$13.11,$10.44,-13.00%
Aurora Mobile Limited,JG,Technology,7/26/2018,9.1,$8.50,$8.80,$4.75,-44.12%
Cango,CANG,Technology,7/26/2018,4,$11.00,$12.52,$6.92,-37.09%
Focus Financial Partners,FOCS,Financials,7/26/2018,16.2,$33.00,$37.55,$27.31,-17.24%
Liquidia Technologies,LQDA,Health Care,7/26/2018,4.5,$11.00,$11.10,$8.00,-27.27%
Pinduoduo,PDD,Technology,7/26/2018,85.6,$19.00,$26.70,$20.63,8.58%
Tenable Holdings,TENB,Technology,7/26/2018,10.9,$23.00,$30.25,$28.54,24.09%
Aquestive Therapeutics,AQST,Health Care,7/25/2018,4,$15.00,$16.05,$4.20,-72.00%
Bloom Energy,BE,Utilities,7/25/2018,18,$15.00,$25.00,$12.27,-18.20%
Replimune Group,REPL,Health Care,7/20/2018,6.7,$15.00,$15.16,$14.66,-2.27%
Allakos,ALLK,Health Care,7/19/2018,7.1,$18.00,$31.25,$43.33,140.72%
Constellation Pharmaceuticals,CNST,Health Care,7/19/2018,4,$15.00,$11.50,$12.28,-18.13%
Establishment Labs Holdings,ESTA,Health Care,7/19/2018,3.7,$18.00,$24.75,$21.99,22.17%
First Western Financial,MYFW,Financials,7/19/2018,2,$19.00,$19.00,$13.26,-30.21%
Tilray,TLRY,Health Care,7/19/2018,9,$17.00,$22.39,$46.56,173.88%
Coastal Financial,CCB,Financials,7/18/2018,2.9,$14.50,$16.40,$15.47,6.69%
Crinetics Pharmaceuticals,CRNX,Health Care,7/18/2018,6,$17.00,$24.51,$25.00,47.06%
Rubius Therapeutics,RUBY,Health Care,7/18/2018,10.5,$23.00,$24.25,$15.73,-31.61%
Domo,DOMO,Technology,6/29/2018,9.2,$21.00,$27.30,$27.32,30.10%
