Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
Snap One Holdings Corp.,SNPO,Industrials,7/28/2021,13.9,$18.00,$16.55,$11.92,-33.78%
Candel Therapeutics,CADL,Health Care,7/27/2021,9,$8.00,$7.00,$3.75,-53.13%
Caribou Biosciences,CRBU,Health Care,7/23/2021,19,$16.00,$16.32,$7.40,-53.75%
"Core & Main, Inc.",CNM,Industrials,7/23/2021,34.9,$20.00,$23.70,$23.76,18.80%
Cytek BioSciences,CTKB,Health Care,7/23/2021,16.8,$17.00,$18.76,$9.65,-43.24%
Gambling.com Group Limited,GAMB,Consumer Services,7/23/2021,5.3,$8.00,$8.00,$8.28,3.50%
Outbrain Inc.,OB,Technology,7/23/2021,8,$20.00,$20.00,$9.50,-52.50%
SOPHiA GENETICS SA,SOPH,Health Care,7/23/2021,13,$18.00,$16.76,$6.85,-61.94%
U.S. Century Bank,USCB,Financials,7/23/2021,4,$10.00,$10.82,$13.72,37.20%
"Xponential Fitness, Inc.",XPOF,Consumer Services,7/23/2021,10,$12.00,$12.25,$20.72,72.67%
AbSci Corp.,ABSI,Health Care,7/22/2021,12.5,$16.00,$21.59,$6.51,-59.31%
"Couchbase, Inc.",BASE,Technology,7/22/2021,8.3,$24.00,$30.40,$17.00,-29.17%
"Instructure Holdings, Inc.",INST,Technology,7/22/2021,12.5,$20.00,$20.98,$17.59,-12.05%
"Ryan Specialty Group Holdings, Inc.",RYAN,Financials,7/22/2021,56.9,$23.50,$27.50,$38.58,64.17%
Zenvia Inc.,ZENV,Technology,7/22/2021,11.5,$13.00,$10.20,$6.76,-48.00%
Zevia PBC,ZVIA,Consumer Goods,7/22/2021,10.7,$14.00,$13.65,$3.44,-75.43%
CS Disco,LAW,Technology,7/21/2021,7,$32.00,$41.00,$30.71,-4.03%
"Kaltura, Inc.",KLTR,Technology,7/21/2021,15,$10.00,$12.00,$1.59,-84.10%
"Paycor HCM, Inc.",PYCR,Technology,7/21/2021,18.5,$23.00,$26.05,$25.10,9.13%
Twin Vee PowerCats,VEEE,Consumer Goods,7/21/2021,3,$6.00,$7.49,$3.63,-39.50%
VTEX,VTEX,Technology,7/21/2021,19,$19.00,$22.18,$5.29,-72.16%
HCW Biologics Inc.,HCWB,Health Care,7/20/2021,7,$8.00,$6.30,$2.34,-70.75%
"Blend Labs, Inc.",BLND,Technology,7/16/2021,20,$18.00,$20.90,$4.67,-74.06%
Bridge Investment Group Holdings Inc.,BRDG,Financials,7/16/2021,18.8,$16.00,$15.65,$18.78,17.38%
"Erasca, Inc.",ERAS,Health Care,7/16/2021,18.8,$16.00,$17.43,$8.04,-49.75%
"Imago BioSciences, Inc.",IMGO,Health Care,7/16/2021,8.4,$16.00,$16.29,$19.12,19.50%
Regencell Bioscience Holdings Ltd.,RGC,Health Care,7/16/2021,2.3,$9.50,$10.50,$23.22,144.42%
Stevanato Group S.p.A.,STVN,Health Care,7/16/2021,32,$21.00,$19.67,$16.19,-22.90%
TScan Therapeutics,TCRX,Health Care,7/16/2021,6.7,$15.00,$10.50,$2.16,-85.60%
F45 Training Holdings Inc.,FXLV,Consumer Services,7/15/2021,20.3,$16.00,$16.20,$9.12,-43.00%
Membership Collective Group Inc.,MCG,Other,7/15/2021,30,$14.00,$12.66,$7.49,-46.50%
"Phillips Edison & Company, Inc.",PECO,Financials,7/15/2021,17,$28.00,$27.83,$33.86,20.93%
"Rapid Micro Biosystems, Inc.",RPID,Health Care,7/15/2021,7.9,$20.00,$21.40,$5.83,-70.85%
"SERA PROGNOSTICS, INC.",SERA,Health Care,7/15/2021,4.7,$16.00,$11.90,$2.23,-86.06%
"Sight Sciences, Inc.",SGHT,Health Care,7/15/2021,10,$24.00,$33.50,$7.06,-70.58%
ARYA Sciences Acquisition Corp V,ARYE,Blank Check,7/13/2021,13,$10.00,$10.05,$9.71,-2.90%
Sentage Holdings Inc.,SNTG,Financials,7/9/2021,4,$5.00,$34.89,$0.69,-86.20%
"Transcode Therapeutics, Inc.",RNAZ,Health Care,7/9/2021,6.3,$4.00,$5.29,$2.80,-30.00%
AltC Acquisition Corp. (formerly Churchill Capital Corp. VIII),ALCC,Blank Check,7/8/2021,45,$10.00,$9.98,$9.74,-2.60%
Moving iMage Technologies,MITQ,Consumer Goods,7/8/2021,4.2,$3.00,$24.00,$1.19,-60.33%
NYXOAH SA,NYXH,Health Care,7/2/2021,2.8,$30.00,$30.11,$17.22,-42.60%
"Acumen Pharmaceuticals, Inc.",ABOS,Health Care,7/1/2021,10,$16.00,$20.10,$3.86,-75.88%
D-MARKET Electronic Services & Trading (Hepsiburada),HEPS,Consumer Goods,7/1/2021,56.7,$12.00,$13.43,$1.60,-86.67%
Eco Wave Power Global AB,WAVE,Technology,7/1/2021,1,$8.00,$10.85,$4.96,-38.00%
EverCommerce Inc.,EVCM,Technology,7/1/2021,19.1,$17.00,$17.60,$13.38,-21.29%
"Krispy Kreme, Inc.",DNUT,Consumer Goods,7/1/2021,29.4,$17.00,$21.00,$13.66,-19.65%
"The Glimpse Group, Inc.",VRAR,Technology,7/1/2021,1.8,$7.00,$17.66,$4.44,-36.57%
Torrid Holdings,CURV,Consumer Goods,7/1/2021,11,$21.00,$24.15,$5.76,-72.57%
"Aerovate Therapeutics, Inc.",AVTE,Health Care,6/30/2021,8.7,$14.00,$22.83,$12.75,-8.93%
"Clear Secure, Inc.",YOU,Technology,6/30/2021,13.2,$31.00,$40.00,$30.42,-1.87%
"CVRx, Inc.",CVRX,Health Care,6/30/2021,7,$18.00,$28.00,$5.76,-68.00%
DiDi Global Inc.,DIDI,Technology,6/30/2021,317,$14.00,$14.14,$1.88,-86.57%
Integral Ad Science Holding,IAS,Technology,6/30/2021,15,$18.00,$20.58,$12.10,-32.78%
"LegalZoom.com, Inc",LZ,Technology,6/30/2021,19.1,$28.00,$37.85,$14.55,-48.04%
"Pop Culture Group Co., Ltd",CPOP,Consumer Services,6/30/2021,6.2,$6.00,$30.30,$1.05,-82.50%
SentinelOne,S,Technology,6/30/2021,35,$35.00,$42.50,$33.30,-4.86%
Social Capital Suvretta Holdings Corp. I,DNAA,Blank Check,6/30/2021,22,$10.00,$10.11,$9.88,-1.20%
Social Capital Suvretta Holdings Corp. II,DNAB,Blank Check,6/30/2021,22,$10.00,$10.12,$9.74,-2.60%
Social Capital Suvretta Holdings Corp. IV,DNAD,Blank Check,6/30/2021,22,$10.00,$10.10,$9.76,-2.40%
"Xometry, Inc.",XMTR,Industrials,6/30/2021,6.9,$44.00,$87.39,$32.82,-25.41%
Dingdong (Cayman) Limited,DDL,Consumer Services,6/29/2021,3.7,$23.50,$23.52,$5.28,-77.53%
Gobi Acquisition Corp.,GOBI,Blank Check,6/29/2021,25,$10.00,$9.91,$9.71,-2.90%
"Acurx Pharmaceuticals, LLC*",ACXP,Health Care,6/25/2021,2.5,$6.00,$7.89,$3.73,-37.83%
"Alpha Teknova, Inc.",TKNO,Health Care,6/25/2021,6,$16.00,$25.00,$11.70,-26.88%
"Elevation Oncology, Inc.",ELEV,Health Care,6/25/2021,6.3,$16.00,$11.44,$2.84,-82.25%
GH Research PLC,GHRS,Health Care,6/25/2021,10,$16.00,$19.25,$15.06,-5.88%
"Graphite Bio, Inc.",GRPH,Health Care,6/25/2021,14,$17.00,$18.50,$4.02,-76.35%
Missfresh Limited,MF,Consumer Services,6/25/2021,21,$13.00,$9.66,$0.52,-96.00%
"Mister Car Wash, Inc.",MCW,Consumer Services,6/25/2021,37.5,$15.00,$20.30,$14.40,-4.00%
Bon Natural Life Limited,BON,Consumer Services,6/24/2021,2.2,$5.00,$7.20,$5.16,3.20%
Bright Health Group,BHG,Health Care,6/24/2021,51.4,$18.00,$16.64,$1.80,-90.00%
"Confluent, Inc.",CFLT,Technology,6/24/2021,23,$36.00,$45.02,$32.00,-11.11%
"Doximity, Inc.",DOCS,Technology,6/24/2021,23.3,$26.00,$53.00,$39.87,53.35%
"GROVE, INC.",GRVI,Consumer Goods,6/24/2021,2.2,$5.00,$5.60,$4.33,-13.40%
Miromatrix Medical Inc.,MIRO,Health Care,6/24/2021,4.8,$9.00,$15.24,$3.42,-62.00%
Monte Rosa Therapeutics,GLUE,Health Care,6/24/2021,11.7,$19.00,$21.18,$10.90,-42.63%
