Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
"Aura Biosciences, Inc.",AURA,Health Care,10/29/2021,5.4,$14.00,$14.80,$16.88,20.57%
Entrada Therapeutics,TRDA,Health Care,10/29/2021,9.1,$20.00,$23.95,$6.70,-66.50%
HireRight Holdings Corp.,HRT,Other,10/29/2021,22.2,$19.00,$17.25,$17.18,-9.58%
"Sonendo, Inc.",SONX,Health Care,10/29/2021,7.8,$12.00,$9.20,$3.05,-74.58%
"Udemy, Inc.",UDMY,Consumer Services,10/29/2021,14.5,$29.00,$27.50,$10.79,-62.79%
"Fluence Energy, Inc.",FLNC,Utilities,10/28/2021,31,$28.00,$34.84,$9.39,-66.46%
GLOBALFOUNDRIES Inc.,GFS,Technology,10/28/2021,55,$47.00,$46.40,$50.74,7.96%
"Solo Brands, Inc.",DTC,Consumer Goods,10/28/2021,12.9,$17.00,$17.61,$6.48,-61.88%
"Arteris, Inc.",AIP,Technology,10/27/2021,5,$14.00,$18.20,$14.40,2.86%
Informatica Inc.,INFA,Technology,10/27/2021,29,$29.00,$29.00,$21.25,-26.72%
"MARPAI, INC.",MRAI,Financials,10/27/2021,6.3,$4.00,$4.75,$1.41,-64.75%
"Rent the Runway, Inc.",RENT,Consumer Services,10/27/2021,17,$21.00,$19.29,$5.55,-73.57%
Augmedix,AUGX,Technology,10/26/2021,10,$4.00,$3.50,$2.54,-36.50%
"Aris Water Solutions, Inc.",ARIS,Oil & Gas,10/22/2021,17.7,$13.00,$14.30,$17.37,33.62%
"MINERVA SURGICAL, INC.",UTRS,Health Care,10/22/2021,6.3,$12.00,$9.00,$3.80,-68.33%
Xilio Therapeutics,XLO,Health Care,10/22/2021,7.4,$16.00,$16.00,$4.03,-74.81%
"Enfusion, Inc.",ENFN,Technology,10/21/2021,18.8,$17.00,$19.81,$12.59,-25.94%
"P10, INC.",PX,Financials,10/21/2021,20,$12.00,$12.08,$11.90,-0.83%
Portillo’s Inc.,PTLO,Consumer Services,10/21/2021,20.3,$20.00,$29.10,$21.89,9.45%
RUNWAY GROWTH FINANCE CORP.,RWAY,Financials,10/21/2021,6.9,$14.60,$12.90,$14.36,-1.64%
"The Vita Coco Company, Inc.",COCO,Consumer Goods,10/21/2021,11.5,$15.00,$13.52,$10.41,-30.60%
Context Therapeutics,CNTX,Health Care,10/20/2021,5,$5.00,$5.10,$1.63,-67.40%
Cyngn,CYN,Technology,10/20/2021,3.5,$7.50,$7.40,$2.69,-64.13%
Stronghold Digital Mining,SDIG,Technology,10/20/2021,6.7,$19.00,$28.90,$3.90,-79.47%
"MiNK Therapeutics, Inc.",INKT,Health Care,10/15/2021,3.3,$12.00,$12.00,$2.29,-80.92%
"Paragon 28, Inc.",FNA,Health Care,10/15/2021,7.8,$16.00,$18.71,$18.46,15.38%
"GitLab, Inc.",GTLB,Technology,10/14/2021,10.4,$77.00,$103.89,$48.16,-37.45%
IHS Holding Limited,IHS,Industrials,10/14/2021,18,$21.00,$17.00,$11.23,-46.52%
Lucid Diagnostics Inc.,LUCD,Health Care,10/14/2021,5,$14.00,$11.76,$2.14,-84.71%
"AvidXchange Holdings, Inc.",AVDX,Technology,10/13/2021,26.4,$25.00,$24.94,$8.46,-66.16%
Healthcare Triangle,HCTI,Technology,10/13/2021,3.3,$4.00,$3.59,$0.92,-77.00%
"Cognition Therapeutics, Inc.",CGTX,Health Care,10/8/2021,3.4,$12.00,$12.77,$3.15,-73.75%
IsoPlexis Corp.,ISO,Health Care,10/8/2021,8.3,$15.00,$11.52,$2.17,-85.53%
"Pyxis Oncology, Inc.",PYXS,Health Care,10/8/2021,10.5,$16.00,$13.20,$2.94,-81.63%
"Life Time Group Holdings, Inc.",LTH,Consumer Services,10/7/2021,39,$18.00,$17.75,$15.17,-15.72%
"Theseus Pharmaceuticals, Inc.",THRX,Health Care,10/7/2021,10,$16.00,$18.58,$10.36,-35.25%
Nuvei Corp.,NVEI,Technology,10/6/2021,3,$123.14,$129.80,$58.12,-52.80%
"Volcon, Inc.",VLCN,Industrials,10/6/2021,3,$5.50,$10.86,$1.41,-74.36%
Exscientia plc,EXAI,Health Care,10/1/2021,13.9,$22.00,$0.00,$13.23,-39.86%
"First Watch Restaurant Group, Inc.",FWRG,Consumer Services,10/1/2021,9.5,$18.00,$0.00,$12.27,-31.83%
TDCX Inc.,TDCX,Technology,10/1/2021,19.4,$18.00,$0.00,$13.17,-26.83%
"Olaplex Holdings, Inc.",OLPX,Consumer Goods,9/30/2021,73.7,$21.00,$24.50,$14.09,-32.90%
Hennessy Capital Investment Corp. VI,HCVIU,Blank Check,9/29/2021,30,$10.00,$0.00,$9.91,-0.90%
MELI Kaszek Pioneer Corp.,MEKA,Blank Check,9/29/2021,25,$10.00,$0.00,$10.35,3.50%
Warby Parker Inc.,WRBY,Consumer Goods,9/29/2021,77.7,$40.00,$54.49,$23.26,-41.85%
